sub_id,trial_type,median_ADS,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,2.0,BELOW,alcohol,203.0,6.0,3.0,0.5
1.0,2.0,BELOW,cigarette,203.0,6.0,2.0,0.333333333333
1.0,2.0,BELOW,neutral,203.0,6.0,1.0,0.166666666667
2.0,2.0,BELOW,alcohol,203.0,58.0,21.0,0.362068965517
2.0,2.0,BELOW,cigarette,203.0,58.0,16.0,0.275862068966
2.0,2.0,BELOW,neutral,203.0,58.0,21.0,0.362068965517
3.0,2.0,BELOW,alcohol,203.0,101.0,40.0,0.39603960396
3.0,2.0,BELOW,cigarette,203.0,101.0,41.0,0.405940594059
3.0,2.0,BELOW,neutral,203.0,101.0,20.0,0.19801980198
4.0,2.0,BELOW,alcohol,203.0,41.0,22.0,0.536585365854
4.0,2.0,BELOW,cigarette,203.0,41.0,16.0,0.390243902439
4.0,2.0,BELOW,neutral,203.0,41.0,3.0,0.0731707317073
5.0,2.0,BELOW,alcohol,203.0,91.0,37.0,0.406593406593
5.0,2.0,BELOW,cigarette,203.0,91.0,24.0,0.263736263736
5.0,2.0,BELOW,neutral,203.0,91.0,30.0,0.32967032967
6.0,2.0,BELOW,alcohol,203.0,76.0,29.0,0.381578947368
6.0,2.0,BELOW,cigarette,203.0,76.0,26.0,0.342105263158
6.0,2.0,BELOW,neutral,203.0,76.0,21.0,0.276315789474
7.0,2.0,BELOW,alcohol,203.0,7.0,1.0,0.142857142857
7.0,2.0,BELOW,cigarette,203.0,7.0,4.0,0.571428571429
7.0,2.0,BELOW,neutral,203.0,7.0,2.0,0.285714285714
8.0,2.0,BELOW,alcohol,203.0,69.0,18.0,0.260869565217
8.0,2.0,BELOW,cigarette,203.0,69.0,31.0,0.449275362319
8.0,2.0,BELOW,neutral,203.0,69.0,20.0,0.289855072464
9.0,2.0,BELOW,alcohol,203.0,38.0,12.0,0.315789473684
9.0,2.0,BELOW,cigarette,203.0,38.0,18.0,0.473684210526
9.0,2.0,BELOW,neutral,203.0,38.0,8.0,0.210526315789
10.0,2.0,BELOW,alcohol,203.0,58.0,17.0,0.293103448276
10.0,2.0,BELOW,cigarette,203.0,58.0,35.0,0.603448275862
10.0,2.0,BELOW,neutral,203.0,58.0,6.0,0.103448275862
11.0,2.0,BELOW,alcohol,203.0,70.0,23.0,0.328571428571
11.0,2.0,BELOW,cigarette,203.0,70.0,22.0,0.314285714286
11.0,2.0,BELOW,neutral,203.0,70.0,25.0,0.357142857143
12.0,2.0,BELOW,alcohol,203.0,11.0,4.0,0.363636363636
12.0,2.0,BELOW,cigarette,203.0,11.0,6.0,0.545454545455
12.0,2.0,BELOW,neutral,203.0,11.0,1.0,0.0909090909091
13.0,2.0,BELOW,alcohol,203.0,83.0,23.0,0.277108433735
13.0,2.0,BELOW,cigarette,203.0,83.0,24.0,0.289156626506
13.0,2.0,BELOW,neutral,203.0,83.0,36.0,0.433734939759
14.0,2.0,BELOW,alcohol,203.0,72.0,25.0,0.347222222222
14.0,2.0,BELOW,cigarette,203.0,72.0,36.0,0.5
14.0,2.0,BELOW,neutral,203.0,72.0,11.0,0.152777777778
15.0,2.0,BELOW,alcohol,203.0,36.0,10.0,0.277777777778
15.0,2.0,BELOW,cigarette,203.0,36.0,13.0,0.361111111111
15.0,2.0,BELOW,neutral,203.0,36.0,13.0,0.361111111111
16.0,2.0,BELOW,alcohol,203.0,19.0,7.0,0.368421052632
16.0,2.0,BELOW,cigarette,203.0,19.0,9.0,0.473684210526
16.0,2.0,BELOW,neutral,203.0,19.0,3.0,0.157894736842
17.0,2.0,BELOW,alcohol,203.0,4.0,1.0,0.25
17.0,2.0,BELOW,cigarette,203.0,4.0,3.0,0.75
17.0,2.0,BELOW,neutral,203.0,4.0,0.0,0.0
18.0,2.0,BELOW,alcohol,203.0,39.0,15.0,0.384615384615
18.0,2.0,BELOW,cigarette,203.0,39.0,14.0,0.358974358974
18.0,2.0,BELOW,neutral,203.0,39.0,10.0,0.25641025641
19.0,2.0,BELOW,alcohol,203.0,18.0,5.0,0.277777777778
