sub_id,trial_type,median_ADS,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,3.0,BELOW,alcohol,1465.0,9.0,3.0,0.333333333333
1.0,3.0,BELOW,cigarette,1465.0,9.0,5.0,0.555555555556
1.0,3.0,BELOW,neutral,1465.0,9.0,1.0,0.111111111111
2.0,3.0,BELOW,alcohol,1465.0,7.0,3.0,0.428571428571
2.0,3.0,BELOW,cigarette,1465.0,7.0,2.0,0.285714285714
2.0,3.0,BELOW,neutral,1465.0,7.0,2.0,0.285714285714
3.0,3.0,BELOW,alcohol,1465.0,16.0,3.0,0.1875
3.0,3.0,BELOW,cigarette,1465.0,16.0,7.0,0.4375
3.0,3.0,BELOW,neutral,1465.0,16.0,6.0,0.375
4.0,3.0,BELOW,alcohol,1465.0,0.0,0.0,
4.0,3.0,BELOW,cigarette,1465.0,0.0,0.0,
4.0,3.0,BELOW,neutral,1465.0,0.0,0.0,
5.0,3.0,BELOW,alcohol,1465.0,27.0,11.0,0.407407407407
5.0,3.0,BELOW,cigarette,1465.0,27.0,9.0,0.333333333333
5.0,3.0,BELOW,neutral,1465.0,27.0,7.0,0.259259259259
6.0,3.0,BELOW,alcohol,1465.0,61.0,18.0,0.295081967213
6.0,3.0,BELOW,cigarette,1465.0,61.0,32.0,0.524590163934
6.0,3.0,BELOW,neutral,1465.0,61.0,11.0,0.180327868852
7.0,3.0,BELOW,alcohol,1465.0,2.0,0.0,0.0
7.0,3.0,BELOW,cigarette,1465.0,2.0,2.0,1.0
7.0,3.0,BELOW,neutral,1465.0,2.0,0.0,0.0
8.0,3.0,BELOW,alcohol,1465.0,3.0,2.0,0.666666666667
8.0,3.0,BELOW,cigarette,1465.0,3.0,0.0,0.0
8.0,3.0,BELOW,neutral,1465.0,3.0,1.0,0.333333333333
9.0,3.0,BELOW,alcohol,1465.0,11.0,1.0,0.0909090909091
9.0,3.0,BELOW,cigarette,1465.0,11.0,5.0,0.454545454545
9.0,3.0,BELOW,neutral,1465.0,11.0,5.0,0.454545454545
10.0,3.0,BELOW,alcohol,1465.0,11.0,7.0,0.636363636364
10.0,3.0,BELOW,cigarette,1465.0,11.0,2.0,0.181818181818
10.0,3.0,BELOW,neutral,1465.0,11.0,2.0,0.181818181818
11.0,3.0,BELOW,alcohol,1465.0,74.0,31.0,0.418918918919
11.0,3.0,BELOW,cigarette,1465.0,74.0,24.0,0.324324324324
11.0,3.0,BELOW,neutral,1465.0,74.0,19.0,0.256756756757
12.0,3.0,BELOW,alcohol,1465.0,11.0,6.0,0.545454545455
12.0,3.0,BELOW,cigarette,1465.0,11.0,2.0,0.181818181818
12.0,3.0,BELOW,neutral,1465.0,11.0,3.0,0.272727272727
13.0,3.0,BELOW,alcohol,1465.0,44.0,12.0,0.272727272727
13.0,3.0,BELOW,cigarette,1465.0,44.0,11.0,0.25
13.0,3.0,BELOW,neutral,1465.0,44.0,21.0,0.477272727273
14.0,3.0,BELOW,alcohol,1465.0,42.0,27.0,0.642857142857
14.0,3.0,BELOW,cigarette,1465.0,42.0,12.0,0.285714285714
14.0,3.0,BELOW,neutral,1465.0,42.0,3.0,0.0714285714286
15.0,3.0,BELOW,alcohol,1465.0,3.0,1.0,0.333333333333
15.0,3.0,BELOW,cigarette,1465.0,3.0,1.0,0.333333333333
15.0,3.0,BELOW,neutral,1465.0,3.0,1.0,0.333333333333
16.0,3.0,BELOW,alcohol,1465.0,11.0,2.0,0.181818181818
16.0,3.0,BELOW,cigarette,1465.0,11.0,8.0,0.727272727273
16.0,3.0,BELOW,neutral,1465.0,11.0,1.0,0.0909090909091
17.0,3.0,BELOW,alcohol,1465.0,24.0,9.0,0.375
17.0,3.0,BELOW,cigarette,1465.0,24.0,8.0,0.333333333333
17.0,3.0,BELOW,neutral,1465.0,24.0,7.0,0.291666666667
18.0,3.0,BELOW,alcohol,1465.0,25.0,10.0,0.4
18.0,3.0,BELOW,cigarette,1465.0,25.0,10.0,0.4
18.0,3.0,BELOW,neutral,1465.0,25.0,5.0,0.2
19.0,3.0,BELOW,alcohol,1465.0,18.0,9.0,0.5
19.0,3.0,BELOW,cigarette,1465.0,18.0,4.0,0.222222222222
19.0,3.0,BELOW,neutral,1465.0,18.0,5.0,0.277777777778
20.0,3.0,BELOW,alcohol,1465.0,47.0,22.0,0.468085106383
20.0,3.0,BELOW,cigarette,1465.0,47.0,15.0,0.31914893617
20.0,3.0,BELOW,neutral,1465.0,47.0,10.0,0.212765957447
21.0,3.0,BELOW,alcohol,1465.0,3.0,2.0,0.666666666667
21.0,3.0,BELOW,cigarette,1465.0,3.0,1.0,0.333333333333
21.0,3.0,BELOW,neutral,1465.0,3.0,0.0,0.0
22.0,3.0,BELOW,alcohol,1465.0,9.0,3.0,0.333333333333
22.0,3.0,BELOW,cigarette,1465.0,9.0,3.0,0.333333333333
22.0,3.0,BELOW,neutral,1465.0,9.0,3.0,0.333333333333
23.0,3.0,BELOW,alcohol,1465.0,6.0,5.0,0.833333333333
23.0,3.0,BELOW,cigarette,1465.0,6.0,1.0,0.166666666667
23.0,3.0,BELOW,neutral,1465.0,6.0,0.0,0.0
24.0,3.0,BELOW,alcohol,1465.0,22.0,11.0,0.5
24.0,3.0,BELOW,cigarette,1465.0,22.0,9.0,0.409090909091
24.0,3.0,BELOW,neutral,1465.0,22.0,2.0,0.0909090909091
25.0,3.0,BELOW,alcohol,1465.0,34.0,20.0,0.588235294118
25.0,3.0,BELOW,cigarette,1465.0,34.0,10.0,0.294117647059
25.0,3.0,BELOW,neutral,1465.0,34.0,4.0,0.117647058824
26.0,3.0,BELOW,alcohol,1465.0,26.0,4.0,0.153846153846
26.0,3.0,BELOW,cigarette,1465.0,26.0,11.0,0.423076923077
26.0,3.0,BELOW,neutral,1465.0,26.0,11.0,0.423076923077
27.0,3.0,BELOW,alcohol,1465.0,39.0,10.0,0.25641025641
27.0,3.0,BELOW,cigarette,1465.0,39.0,12.0,0.307692307692
27.0,3.0,BELOW,neutral,1465.0,39.0,17.0,0.435897435897
28.0,3.0,BELOW,alcohol,1465.0,31.0,11.0,0.354838709677
28.0,3.0,BELOW,cigarette,1465.0,31.0,14.0,0.451612903226
28.0,3.0,BELOW,neutral,1465.0,31.0,6.0,0.193548387097
29.0,3.0,BELOW,alcohol,1465.0,117.0,45.0,0.384615384615
29.0,3.0,BELOW,cigarette,1465.0,117.0,29.0,0.247863247863
29.0,3.0,BELOW,neutral,1465.0,117.0,43.0,0.367521367521
1.0,3.0,ABOVE,alcohol,1465.0,3.0,2.0,0.666666666667
1.0,3.0,ABOVE,cigarette,1465.0,3.0,1.0,0.333333333333
1.0,3.0,ABOVE,neutral,1465.0,3.0,0.0,0.0
