sub_id,trial_type,median_FTND,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,2.0,BELOW,alcohol,1206.0,2.0,0.0,0.0
1.0,2.0,BELOW,cigarette,1206.0,2.0,2.0,1.0
1.0,2.0,BELOW,neutral,1206.0,2.0,0.0,0.0
2.0,2.0,BELOW,alcohol,1206.0,0.0,0.0,
2.0,2.0,BELOW,cigarette,1206.0,0.0,0.0,
2.0,2.0,BELOW,neutral,1206.0,0.0,0.0,
3.0,2.0,BELOW,alcohol,1206.0,7.0,2.0,0.285714285714
3.0,2.0,BELOW,cigarette,1206.0,7.0,4.0,0.571428571429
3.0,2.0,BELOW,neutral,1206.0,7.0,1.0,0.142857142857
4.0,2.0,BELOW,alcohol,1206.0,0.0,0.0,
4.0,2.0,BELOW,cigarette,1206.0,0.0,0.0,
4.0,2.0,BELOW,neutral,1206.0,0.0,0.0,
5.0,2.0,BELOW,alcohol,1206.0,2.0,0.0,0.0
5.0,2.0,BELOW,cigarette,1206.0,2.0,2.0,1.0
5.0,2.0,BELOW,neutral,1206.0,2.0,0.0,0.0
6.0,2.0,BELOW,alcohol,1206.0,0.0,0.0,
6.0,2.0,BELOW,cigarette,1206.0,0.0,0.0,
6.0,2.0,BELOW,neutral,1206.0,0.0,0.0,
7.0,2.0,BELOW,alcohol,1206.0,0.0,0.0,
7.0,2.0,BELOW,cigarette,1206.0,0.0,0.0,
7.0,2.0,BELOW,neutral,1206.0,0.0,0.0,
8.0,2.0,BELOW,alcohol,1206.0,0.0,0.0,
8.0,2.0,BELOW,cigarette,1206.0,0.0,0.0,
8.0,2.0,BELOW,neutral,1206.0,0.0,0.0,
9.0,2.0,BELOW,alcohol,1206.0,9.0,0.0,0.0
9.0,2.0,BELOW,cigarette,1206.0,9.0,5.0,0.555555555556
9.0,2.0,BELOW,neutral,1206.0,9.0,4.0,0.444444444444
10.0,2.0,BELOW,alcohol,1206.0,0.0,0.0,
10.0,2.0,BELOW,cigarette,1206.0,0.0,0.0,
10.0,2.0,BELOW,neutral,1206.0,0.0,0.0,
11.0,2.0,BELOW,alcohol,1206.0,0.0,0.0,
11.0,2.0,BELOW,cigarette,1206.0,0.0,0.0,
11.0,2.0,BELOW,neutral,1206.0,0.0,0.0,
12.0,2.0,BELOW,alcohol,1206.0,3.0,1.0,0.333333333333
12.0,2.0,BELOW,cigarette,1206.0,3.0,1.0,0.333333333333
12.0,2.0,BELOW,neutral,1206.0,3.0,1.0,0.333333333333
13.0,2.0,BELOW,alcohol,1206.0,11.0,1.0,0.0909090909091
13.0,2.0,BELOW,cigarette,1206.0,11.0,2.0,0.181818181818
13.0,2.0,BELOW,neutral,1206.0,11.0,8.0,0.727272727273
14.0,2.0,BELOW,alcohol,1206.0,12.0,5.0,0.416666666667
14.0,2.0,BELOW,cigarette,1206.0,12.0,3.0,0.25
14.0,2.0,BELOW,neutral,1206.0,12.0,4.0,0.333333333333
15.0,2.0,BELOW,alcohol,1206.0,0.0,0.0,
15.0,2.0,BELOW,cigarette,1206.0,0.0,0.0,
15.0,2.0,BELOW,neutral,1206.0,0.0,0.0,
