sub_id,trial_type,median_FTND,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,1.0,BELOW,alcohol,231.0,12.0,6.0,0.5
1.0,1.0,BELOW,cigarette,231.0,12.0,3.0,0.25
1.0,1.0,BELOW,neutral,231.0,12.0,3.0,0.25
2.0,1.0,BELOW,alcohol,231.0,71.0,27.0,0.380281690141
2.0,1.0,BELOW,cigarette,231.0,71.0,24.0,0.338028169014
2.0,1.0,BELOW,neutral,231.0,71.0,20.0,0.281690140845
3.0,1.0,BELOW,alcohol,231.0,122.0,48.0,0.393442622951
3.0,1.0,BELOW,cigarette,231.0,122.0,49.0,0.401639344262
3.0,1.0,BELOW,neutral,231.0,122.0,25.0,0.204918032787
4.0,1.0,BELOW,alcohol,231.0,0.0,0.0,
4.0,1.0,BELOW,cigarette,231.0,0.0,0.0,
4.0,1.0,BELOW,neutral,231.0,0.0,0.0,
5.0,1.0,BELOW,alcohol,231.0,107.0,44.0,0.411214953271
5.0,1.0,BELOW,cigarette,231.0,107.0,30.0,0.280373831776
5.0,1.0,BELOW,neutral,231.0,107.0,33.0,0.308411214953
6.0,1.0,BELOW,alcohol,231.0,63.0,22.0,0.349206349206
6.0,1.0,BELOW,cigarette,231.0,63.0,26.0,0.412698412698
6.0,1.0,BELOW,neutral,231.0,63.0,15.0,0.238095238095
7.0,1.0,BELOW,alcohol,231.0,18.0,1.0,0.0555555555556
7.0,1.0,BELOW,cigarette,231.0,18.0,15.0,0.833333333333
7.0,1.0,BELOW,neutral,231.0,18.0,2.0,0.111111111111
8.0,1.0,BELOW,alcohol,231.0,66.0,22.0,0.333333333333
8.0,1.0,BELOW,cigarette,231.0,66.0,30.0,0.454545454545
8.0,1.0,BELOW,neutral,231.0,66.0,14.0,0.212121212121
9.0,1.0,BELOW,alcohol,231.0,60.0,20.0,0.333333333333
9.0,1.0,BELOW,cigarette,231.0,60.0,27.0,0.45
9.0,1.0,BELOW,neutral,231.0,60.0,13.0,0.216666666667
10.0,1.0,BELOW,alcohol,231.0,46.0,18.0,0.391304347826
10.0,1.0,BELOW,cigarette,231.0,46.0,23.0,0.5
10.0,1.0,BELOW,neutral,231.0,46.0,5.0,0.108695652174
11.0,1.0,BELOW,alcohol,231.0,53.0,18.0,0.339622641509
11.0,1.0,BELOW,cigarette,231.0,53.0,19.0,0.358490566038
11.0,1.0,BELOW,neutral,231.0,53.0,16.0,0.301886792453
12.0,1.0,BELOW,alcohol,231.0,26.0,7.0,0.269230769231
12.0,1.0,BELOW,cigarette,231.0,26.0,14.0,0.538461538462
12.0,1.0,BELOW,neutral,231.0,26.0,5.0,0.192307692308
13.0,1.0,BELOW,alcohol,231.0,110.0,31.0,0.281818181818
13.0,1.0,BELOW,cigarette,231.0,110.0,32.0,0.290909090909
13.0,1.0,BELOW,neutral,231.0,110.0,47.0,0.427272727273
14.0,1.0,BELOW,alcohol,231.0,102.0,34.0,0.333333333333
14.0,1.0,BELOW,cigarette,231.0,102.0,49.0,0.480392156863
14.0,1.0,BELOW,neutral,231.0,102.0,19.0,0.186274509804
15.0,1.0,BELOW,alcohol,231.0,35.0,10.0,0.285714285714
15.0,1.0,BELOW,cigarette,231.0,35.0,13.0,0.371428571429
15.0,1.0,BELOW,neutral,231.0,35.0,12.0,0.342857142857
16.0,1.0,BELOW,alcohol,231.0,18.0,8.0,0.444444444444
16.0,1.0,BELOW,cigarette,231.0,18.0,7.0,0.388888888889
16.0,1.0,BELOW,neutral,231.0,18.0,3.0,0.166666666667
17.0,1.0,BELOW,alcohol,231.0,8.0,1.0,0.125
17.0,1.0,BELOW,cigarette,231.0,8.0,6.0,0.75
17.0,1.0,BELOW,neutral,231.0,8.0,1.0,0.125
18.0,1.0,BELOW,alcohol,231.0,52.0,18.0,0.346153846154
18.0,1.0,BELOW,cigarette,231.0,52.0,20.0,0.384615384615
18.0,1.0,BELOW,neutral,231.0,52.0,14.0,0.269230769231
19.0,1.0,BELOW,alcohol,231.0,47.0,14.0,0.297872340426
19.0,1.0,BELOW,cigarette,231.0,47.0,22.0,0.468085106383
19.0,1.0,BELOW,neutral,231.0,47.0,11.0,0.234042553191
20.0,1.0,BELOW,alcohol,231.0,39.0,12.0,0.307692307692
20.0,1.0,BELOW,cigarette,231.0,39.0,16.0,0.410256410256
20.0,1.0,BELOW,neutral,231.0,39.0,11.0,0.282051282051
21.0,1.0,BELOW,alcohol,231.0,40.0,17.0,0.425
21.0,1.0,BELOW,cigarette,231.0,40.0,12.0,0.3
21.0,1.0,BELOW,neutral,231.0,40.0,11.0,0.275
22.0,1.0,BELOW,alcohol,231.0,77.0,31.0,0.402597402597
22.0,1.0,BELOW,cigarette,231.0,77.0,29.0,0.376623376623
22.0,1.0,BELOW,neutral,231.0,77.0,17.0,0.220779220779
23.0,1.0,BELOW,alcohol,231.0,36.0,9.0,0.25
23.0,1.0,BELOW,cigarette,231.0,36.0,16.0,0.444444444444
23.0,1.0,BELOW,neutral,231.0,36.0,11.0,0.305555555556
24.0,1.0,BELOW,alcohol,231.0,77.0,34.0,0.441558441558
24.0,1.0,BELOW,cigarette,231.0,77.0,24.0,0.311688311688
24.0,1.0,BELOW,neutral,231.0,77.0,19.0,0.246753246753
25.0,1.0,BELOW,alcohol,231.0,124.0,47.0,0.379032258065
25.0,1.0,BELOW,cigarette,231.0,124.0,59.0,0.475806451613
25.0,1.0,BELOW,neutral,231.0,124.0,18.0,0.145161290323
26.0,1.0,BELOW,alcohol,231.0,65.0,16.0,0.246153846154
26.0,1.0,BELOW,cigarette,231.0,65.0,15.0,0.230769230769
26.0,1.0,BELOW,neutral,231.0,65.0,34.0,0.523076923077
27.0,1.0,BELOW,alcohol,231.0,73.0,22.0,0.301369863014
27.0,1.0,BELOW,cigarette,231.0,73.0,36.0,0.493150684932
27.0,1.0,BELOW,neutral,231.0,73.0,15.0,0.205479452055
28.0,1.0,BELOW,alcohol,231.0,54.0,21.0,0.388888888889
28.0,1.0,BELOW,cigarette,231.0,54.0,27.0,0.5
28.0,1.0,BELOW,neutral,231.0,54.0,6.0,0.111111111111
29.0,1.0,BELOW,alcohol,231.0,88.0,30.0,0.340909090909
29.0,1.0,BELOW,cigarette,231.0,88.0,33.0,0.375
29.0,1.0,BELOW,neutral,231.0,88.0,25.0,0.284090909091
1.0,1.0,ABOVE,alcohol,231.0,0.0,0.0,
1.0,1.0,ABOVE,cigarette,231.0,0.0,0.0,
1.0,1.0,ABOVE,neutral,231.0,0.0,0.0,
2.0,1.0,ABOVE,alcohol,231.0,28.0,16.0,0.571428571429
2.0,1.0,ABOVE,cigarette,231.0,28.0,9.0,0.321428571429
2.0,1.0,ABOVE,neutral,231.0,28.0,3.0,0.107142857143
3.0,1.0,ABOVE,alcohol,231.0,0.0,0.0,
3.0,1.0,ABOVE,cigarette,231.0,0.0,0.0,
3.0,1.0,ABOVE,neutral,231.0,0.0,0.0,
