sub_id,trial_type,median_FTND,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,3.0,BELOW,alcohol,1972.0,4.0,2.0,0.5
1.0,3.0,BELOW,cigarette,1972.0,4.0,1.0,0.25
1.0,3.0,BELOW,neutral,1972.0,4.0,1.0,0.25
2.0,3.0,BELOW,alcohol,1972.0,0.0,0.0,
2.0,3.0,BELOW,cigarette,1972.0,0.0,0.0,
2.0,3.0,BELOW,neutral,1972.0,0.0,0.0,
3.0,3.0,BELOW,alcohol,1972.0,12.0,4.0,0.333333333333
3.0,3.0,BELOW,cigarette,1972.0,12.0,4.0,0.333333333333
3.0,3.0,BELOW,neutral,1972.0,12.0,4.0,0.333333333333
4.0,3.0,BELOW,alcohol,1972.0,0.0,0.0,
4.0,3.0,BELOW,cigarette,1972.0,0.0,0.0,
4.0,3.0,BELOW,neutral,1972.0,0.0,0.0,
5.0,3.0,BELOW,alcohol,1972.0,7.0,2.0,0.285714285714
5.0,3.0,BELOW,cigarette,1972.0,7.0,4.0,0.571428571429
5.0,3.0,BELOW,neutral,1972.0,7.0,1.0,0.142857142857
6.0,3.0,BELOW,alcohol,1972.0,27.0,2.0,0.0740740740741
6.0,3.0,BELOW,cigarette,1972.0,27.0,24.0,0.888888888889
6.0,3.0,BELOW,neutral,1972.0,27.0,1.0,0.037037037037
7.0,3.0,BELOW,alcohol,1972.0,1.0,0.0,0.0
7.0,3.0,BELOW,cigarette,1972.0,1.0,1.0,1.0
7.0,3.0,BELOW,neutral,1972.0,1.0,0.0,0.0
8.0,3.0,BELOW,alcohol,1972.0,1.0,1.0,1.0
8.0,3.0,BELOW,cigarette,1972.0,1.0,0.0,0.0
8.0,3.0,BELOW,neutral,1972.0,1.0,0.0,0.0
9.0,3.0,BELOW,alcohol,1972.0,5.0,1.0,0.2
9.0,3.0,BELOW,cigarette,1972.0,5.0,2.0,0.4
9.0,3.0,BELOW,neutral,1972.0,5.0,2.0,0.4
10.0,3.0,BELOW,alcohol,1972.0,3.0,1.0,0.333333333333
10.0,3.0,BELOW,cigarette,1972.0,3.0,1.0,0.333333333333
10.0,3.0,BELOW,neutral,1972.0,3.0,1.0,0.333333333333
11.0,3.0,BELOW,alcohol,1972.0,11.0,4.0,0.363636363636
11.0,3.0,BELOW,cigarette,1972.0,11.0,4.0,0.363636363636
11.0,3.0,BELOW,neutral,1972.0,11.0,3.0,0.272727272727
12.0,3.0,BELOW,alcohol,1972.0,1.0,1.0,1.0
12.0,3.0,BELOW,cigarette,1972.0,1.0,0.0,0.0
12.0,3.0,BELOW,neutral,1972.0,1.0,0.0,0.0
13.0,3.0,BELOW,alcohol,1972.0,20.0,1.0,0.05
13.0,3.0,BELOW,cigarette,1972.0,20.0,9.0,0.45
13.0,3.0,BELOW,neutral,1972.0,20.0,10.0,0.5
14.0,3.0,BELOW,alcohol,1972.0,14.0,8.0,0.571428571429
14.0,3.0,BELOW,cigarette,1972.0,14.0,5.0,0.357142857143
14.0,3.0,BELOW,neutral,1972.0,14.0,1.0,0.0714285714286
15.0,3.0,BELOW,alcohol,1972.0,2.0,2.0,1.0
15.0,3.0,BELOW,cigarette,1972.0,2.0,0.0,0.0
15.0,3.0,BELOW,neutral,1972.0,2.0,0.0,0.0
16.0,3.0,BELOW,alcohol,1972.0,4.0,0.0,0.0
16.0,3.0,BELOW,cigarette,1972.0,4.0,2.0,0.5
16.0,3.0,BELOW,neutral,1972.0,4.0,2.0,0.5
17.0,3.0,BELOW,alcohol,1972.0,8.0,4.0,0.5
17.0,3.0,BELOW,cigarette,1972.0,8.0,3.0,0.375
17.0,3.0,BELOW,neutral,1972.0,8.0,1.0,0.125
18.0,3.0,BELOW,alcohol,1972.0,13.0,6.0,0.461538461538
18.0,3.0,BELOW,cigarette,1972.0,13.0,4.0,0.307692307692
18.0,3.0,BELOW,neutral,1972.0,13.0,3.0,0.230769230769
19.0,3.0,BELOW,alcohol,1972.0,3.0,1.0,0.333333333333
19.0,3.0,BELOW,cigarette,1972.0,3.0,1.0,0.333333333333
19.0,3.0,BELOW,neutral,1972.0,3.0,1.0,0.333333333333
20.0,3.0,BELOW,alcohol,1972.0,27.0,11.0,0.407407407407
20.0,3.0,BELOW,cigarette,1972.0,27.0,9.0,0.333333333333
20.0,3.0,BELOW,neutral,1972.0,27.0,7.0,0.259259259259
21.0,3.0,BELOW,alcohol,1972.0,2.0,1.0,0.5
21.0,3.0,BELOW,cigarette,1972.0,2.0,0.0,0.0
21.0,3.0,BELOW,neutral,1972.0,2.0,1.0,0.5
22.0,3.0,BELOW,alcohol,1972.0,3.0,1.0,0.333333333333
22.0,3.0,BELOW,cigarette,1972.0,3.0,1.0,0.333333333333
22.0,3.0,BELOW,neutral,1972.0,3.0,1.0,0.333333333333
23.0,3.0,BELOW,alcohol,1972.0,1.0,0.0,0.0
23.0,3.0,BELOW,cigarette,1972.0,1.0,0.0,0.0
23.0,3.0,BELOW,neutral,1972.0,1.0,1.0,1.0
24.0,3.0,BELOW,alcohol,1972.0,5.0,2.0,0.4
24.0,3.0,BELOW,cigarette,1972.0,5.0,2.0,0.4
24.0,3.0,BELOW,neutral,1972.0,5.0,1.0,0.2
25.0,3.0,BELOW,alcohol,1972.0,19.0,11.0,0.578947368421
25.0,3.0,BELOW,cigarette,1972.0,19.0,3.0,0.157894736842
25.0,3.0,BELOW,neutral,1972.0,19.0,5.0,0.263157894737
26.0,3.0,BELOW,alcohol,1972.0,14.0,1.0,0.0714285714286
26.0,3.0,BELOW,cigarette,1972.0,14.0,11.0,0.785714285714
26.0,3.0,BELOW,neutral,1972.0,14.0,2.0,0.142857142857
27.0,3.0,BELOW,alcohol,1972.0,24.0,5.0,0.208333333333
27.0,3.0,BELOW,cigarette,1972.0,24.0,8.0,0.333333333333
27.0,3.0,BELOW,neutral,1972.0,24.0,11.0,0.458333333333
28.0,3.0,BELOW,alcohol,1972.0,16.0,7.0,0.4375
28.0,3.0,BELOW,cigarette,1972.0,16.0,4.0,0.25
28.0,3.0,BELOW,neutral,1972.0,16.0,5.0,0.3125
29.0,3.0,BELOW,alcohol,1972.0,118.0,43.0,0.364406779661
29.0,3.0,BELOW,cigarette,1972.0,118.0,48.0,0.406779661017
29.0,3.0,BELOW,neutral,1972.0,118.0,27.0,0.228813559322
1.0,3.0,ABOVE,alcohol,1972.0,0.0,0.0,
1.0,3.0,ABOVE,cigarette,1972.0,0.0,0.0,
1.0,3.0,ABOVE,neutral,1972.0,0.0,0.0,
2.0,3.0,ABOVE,alcohol,1972.0,0.0,0.0,
2.0,3.0,ABOVE,cigarette,1972.0,0.0,0.0,
2.0,3.0,ABOVE,neutral,1972.0,0.0,0.0,
3.0,3.0,ABOVE,alcohol,1972.0,0.0,0.0,
3.0,3.0,ABOVE,cigarette,1972.0,0.0,0.0,
3.0,3.0,ABOVE,neutral,1972.0,0.0,0.0,
4.0,3.0,ABOVE,alcohol,1972.0,0.0,0.0,
4.0,3.0,ABOVE,cigarette,1972.0,0.0,0.0,
4.0,3.0,ABOVE,neutral,1972.0,0.0,0.0,
5.0,3.0,ABOVE,alcohol,1972.0,0.0,0.0,
5.0,3.0,ABOVE,cigarette,1972.0,0.0,0.0,
5.0,3.0,ABOVE,neutral,1972.0,0.0,0.0,
6.0,3.0,ABOVE,alcohol,1972.0,5.0,0.0,0.0
