sub_id,trial_type,median_FTND,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,4.0,BELOW,alcohol,1178.0,19.0,9.0,0.473684210526
1.0,4.0,BELOW,cigarette,1178.0,19.0,8.0,0.421052631579
1.0,4.0,BELOW,neutral,1178.0,19.0,2.0,0.105263157895
2.0,4.0,BELOW,alcohol,1178.0,11.0,3.0,0.272727272727
2.0,4.0,BELOW,cigarette,1178.0,11.0,6.0,0.545454545455
2.0,4.0,BELOW,neutral,1178.0,11.0,2.0,0.181818181818
3.0,4.0,BELOW,alcohol,1178.0,36.0,14.0,0.388888888889
3.0,4.0,BELOW,cigarette,1178.0,36.0,9.0,0.25
3.0,4.0,BELOW,neutral,1178.0,36.0,13.0,0.361111111111
4.0,4.0,BELOW,alcohol,1178.0,0.0,0.0,
4.0,4.0,BELOW,cigarette,1178.0,0.0,0.0,
4.0,4.0,BELOW,neutral,1178.0,0.0,0.0,
5.0,4.0,BELOW,alcohol,1178.0,56.0,22.0,0.392857142857
5.0,4.0,BELOW,cigarette,1178.0,56.0,23.0,0.410714285714
5.0,4.0,BELOW,neutral,1178.0,56.0,11.0,0.196428571429
6.0,4.0,BELOW,alcohol,1178.0,66.0,28.0,0.424242424242
6.0,4.0,BELOW,cigarette,1178.0,66.0,22.0,0.333333333333
6.0,4.0,BELOW,neutral,1178.0,66.0,16.0,0.242424242424
7.0,4.0,BELOW,alcohol,1178.0,2.0,0.0,0.0
7.0,4.0,BELOW,cigarette,1178.0,2.0,2.0,1.0
7.0,4.0,BELOW,neutral,1178.0,2.0,0.0,0.0
8.0,4.0,BELOW,alcohol,1178.0,9.0,3.0,0.333333333333
8.0,4.0,BELOW,cigarette,1178.0,9.0,4.0,0.444444444444
8.0,4.0,BELOW,neutral,1178.0,9.0,2.0,0.222222222222
9.0,4.0,BELOW,alcohol,1178.0,24.0,4.0,0.166666666667
9.0,4.0,BELOW,cigarette,1178.0,24.0,9.0,0.375
9.0,4.0,BELOW,neutral,1178.0,24.0,11.0,0.458333333333
10.0,4.0,BELOW,alcohol,1178.0,21.0,11.0,0.52380952381
10.0,4.0,BELOW,cigarette,1178.0,21.0,4.0,0.190476190476
10.0,4.0,BELOW,neutral,1178.0,21.0,6.0,0.285714285714
11.0,4.0,BELOW,alcohol,1178.0,98.0,52.0,0.530612244898
11.0,4.0,BELOW,cigarette,1178.0,98.0,30.0,0.30612244898
11.0,4.0,BELOW,neutral,1178.0,98.0,16.0,0.163265306122
12.0,4.0,BELOW,alcohol,1178.0,19.0,12.0,0.631578947368
12.0,4.0,BELOW,cigarette,1178.0,19.0,3.0,0.157894736842
12.0,4.0,BELOW,neutral,1178.0,19.0,4.0,0.210526315789
13.0,4.0,BELOW,alcohol,1178.0,63.0,20.0,0.31746031746
13.0,4.0,BELOW,cigarette,1178.0,63.0,15.0,0.238095238095
13.0,4.0,BELOW,neutral,1178.0,63.0,28.0,0.444444444444
14.0,4.0,BELOW,alcohol,1178.0,73.0,33.0,0.452054794521
14.0,4.0,BELOW,cigarette,1178.0,73.0,23.0,0.315068493151
14.0,4.0,BELOW,neutral,1178.0,73.0,17.0,0.232876712329
15.0,4.0,BELOW,alcohol,1178.0,9.0,1.0,0.111111111111
15.0,4.0,BELOW,cigarette,1178.0,9.0,5.0,0.555555555556
15.0,4.0,BELOW,neutral,1178.0,9.0,3.0,0.333333333333
16.0,4.0,BELOW,alcohol,1178.0,18.0,3.0,0.166666666667
16.0,4.0,BELOW,cigarette,1178.0,18.0,11.0,0.611111111111
16.0,4.0,BELOW,neutral,1178.0,18.0,4.0,0.222222222222
17.0,4.0,BELOW,alcohol,1178.0,23.0,9.0,0.391304347826
17.0,4.0,BELOW,cigarette,1178.0,23.0,8.0,0.347826086957
17.0,4.0,BELOW,neutral,1178.0,23.0,6.0,0.260869565217
18.0,4.0,BELOW,alcohol,1178.0,42.0,22.0,0.52380952381
18.0,4.0,BELOW,cigarette,1178.0,42.0,9.0,0.214285714286
18.0,4.0,BELOW,neutral,1178.0,42.0,11.0,0.261904761905
19.0,4.0,BELOW,alcohol,1178.0,28.0,14.0,0.5
19.0,4.0,BELOW,cigarette,1178.0,28.0,8.0,0.285714285714
19.0,4.0,BELOW,neutral,1178.0,28.0,6.0,0.214285714286
20.0,4.0,BELOW,alcohol,1178.0,66.0,39.0,0.590909090909
20.0,4.0,BELOW,cigarette,1178.0,66.0,15.0,0.227272727273
20.0,4.0,BELOW,neutral,1178.0,66.0,12.0,0.181818181818
21.0,4.0,BELOW,alcohol,1178.0,9.0,2.0,0.222222222222
21.0,4.0,BELOW,cigarette,1178.0,9.0,3.0,0.333333333333
21.0,4.0,BELOW,neutral,1178.0,9.0,4.0,0.444444444444
22.0,4.0,BELOW,alcohol,1178.0,24.0,9.0,0.375
22.0,4.0,BELOW,cigarette,1178.0,24.0,9.0,0.375
22.0,4.0,BELOW,neutral,1178.0,24.0,6.0,0.25
23.0,4.0,BELOW,alcohol,1178.0,7.0,4.0,0.571428571429
23.0,4.0,BELOW,cigarette,1178.0,7.0,0.0,0.0
23.0,4.0,BELOW,neutral,1178.0,7.0,3.0,0.428571428571
24.0,4.0,BELOW,alcohol,1178.0,37.0,19.0,0.513513513514
24.0,4.0,BELOW,cigarette,1178.0,37.0,13.0,0.351351351351
24.0,4.0,BELOW,neutral,1178.0,37.0,5.0,0.135135135135
25.0,4.0,BELOW,alcohol,1178.0,59.0,29.0,0.491525423729
25.0,4.0,BELOW,cigarette,1178.0,59.0,21.0,0.35593220339
25.0,4.0,BELOW,neutral,1178.0,59.0,9.0,0.152542372881
26.0,4.0,BELOW,alcohol,1178.0,33.0,2.0,0.0606060606061
26.0,4.0,BELOW,cigarette,1178.0,33.0,17.0,0.515151515152
26.0,4.0,BELOW,neutral,1178.0,33.0,14.0,0.424242424242
27.0,4.0,BELOW,alcohol,1178.0,80.0,37.0,0.4625
27.0,4.0,BELOW,cigarette,1178.0,80.0,18.0,0.225
27.0,4.0,BELOW,neutral,1178.0,80.0,25.0,0.3125
28.0,4.0,BELOW,alcohol,1178.0,35.0,18.0,0.514285714286
28.0,4.0,BELOW,cigarette,1178.0,35.0,9.0,0.257142857143
28.0,4.0,BELOW,neutral,1178.0,35.0,8.0,0.228571428571
29.0,4.0,BELOW,alcohol,1178.0,130.0,63.0,0.484615384615
29.0,4.0,BELOW,cigarette,1178.0,130.0,30.0,0.230769230769
29.0,4.0,BELOW,neutral,1178.0,130.0,37.0,0.284615384615
1.0,4.0,ABOVE,alcohol,1178.0,0.0,0.0,
1.0,4.0,ABOVE,cigarette,1178.0,0.0,0.0,
1.0,4.0,ABOVE,neutral,1178.0,0.0,0.0,
2.0,4.0,ABOVE,alcohol,1178.0,6.0,1.0,0.166666666667
2.0,4.0,ABOVE,cigarette,1178.0,6.0,2.0,0.333333333333
2.0,4.0,ABOVE,neutral,1178.0,6.0,3.0,0.5
3.0,4.0,ABOVE,alcohol,1178.0,0.0,0.0,
3.0,4.0,ABOVE,cigarette,1178.0,0.0,0.0,
3.0,4.0,ABOVE,neutral,1178.0,0.0,0.0,
4.0,4.0,ABOVE,alcohol,1178.0,0.0,0.0,
4.0,4.0,ABOVE,cigarette,1178.0,0.0,0.0,
4.0,4.0,ABOVE,neutral,1178.0,0.0,0.0,
5.0,4.0,ABOVE,alcohol,1178.0,0.0,0.0,
5.0,4.0,ABOVE,cigarette,1178.0,0.0,0.0,
5.0,4.0,ABOVE,neutral,1178.0,0.0,0.0,
6.0,4.0,ABOVE,alcohol,1178.0,7.0,3.0,0.428571428571
6.0,4.0,ABOVE,cigarette,1178.0,7.0,4.0,0.571428571429
6.0,4.0,ABOVE,neutral,1178.0,7.0,0.0,0.0
7.0,4.0,ABOVE,alcohol,1178.0,0.0,0.0,
7.0,4.0,ABOVE,cigarette,1178.0,0.0,0.0,
7.0,4.0,ABOVE,neutral,1178.0,0.0,0.0,
8.0,4.0,ABOVE,alcohol,1178.0,0.0,0.0,
8.0,4.0,ABOVE,cigarette,1178.0,0.0,0.0,
8.0,4.0,ABOVE,neutral,1178.0,0.0,0.0,
9.0,4.0,ABOVE,alcohol,1178.0,0.0,0.0,
9.0,4.0,ABOVE,cigarette,1178.0,0.0,0.0,
9.0,4.0,ABOVE,neutral,1178.0,0.0,0.0,
10.0,4.0,ABOVE,alcohol,1178.0,10.0,3.0,0.3
10.0,4.0,ABOVE,cigarette,1178.0,10.0,0.0,0.0
10.0,4.0,ABOVE,neutral,1178.0,10.0,7.0,0.7
11.0,4.0,ABOVE,alcohol,1178.0,13.0,8.0,0.615384615385
11.0,4.0,ABOVE,cigarette,1178.0,13.0,0.0,0.0
11.0,4.0,ABOVE,neutral,1178.0,13.0,5.0,0.384615384615
12.0,4.0,ABOVE,alcohol,1178.0,0.0,0.0,
12.0,4.0,ABOVE,cigarette,1178.0,0.0,0.0,
12.0,4.0,ABOVE,neutral,1178.0,0.0,0.0,
13.0,4.0,ABOVE,alcohol,1178.0,0.0,0.0,
13.0,4.0,ABOVE,cigarette,1178.0,0.0,0.0,
13.0,4.0,ABOVE,neutral,1178.0,0.0,0.0,
14.0,4.0,ABOVE,alcohol,1178.0,0.0,0.0,
14.0,4.0,ABOVE,cigarette,1178.0,0.0,0.0,
14.0,4.0,ABOVE,neutral,1178.0,0.0,0.0,
15.0,4.0,ABOVE,alcohol,1178.0,0.0,0.0,
15.0,4.0,ABOVE,cigarette,1178.0,0.0,0.0,
15.0,4.0,ABOVE,neutral,1178.0,0.0,0.0,
16.0,4.0,ABOVE,alcohol,1178.0,2.0,1.0,0.5
16.0,4.0,ABOVE,cigarette,1178.0,2.0,1.0,0.5
16.0,4.0,ABOVE,neutral,1178.0,2.0,0.0,0.0
17.0,4.0,ABOVE,alcohol,1178.0,12.0,8.0,0.666666666667
17.0,4.0,ABOVE,cigarette,1178.0,12.0,2.0,0.166666666667
17.0,4.0,ABOVE,neutral,1178.0,12.0,2.0,0.166666666667
18.0,4.0,ABOVE,alcohol,1178.0,0.0,0.0,
18.0,4.0,ABOVE,cigarette,1178.0,0.0,0.0,
18.0,4.0,ABOVE,neutral,1178.0,0.0,0.0,
19.0,4.0,ABOVE,alcohol,1178.0,0.0,0.0,
19.0,4.0,ABOVE,cigarette,1178.0,0.0,0.0,
19.0,4.0,ABOVE,neutral,1178.0,0.0,0.0,
20.0,4.0,ABOVE,alcohol,1178.0,11.0,7.0,0.636363636364
20.0,4.0,ABOVE,cigarette,1178.0,11.0,4.0,0.363636363636
20.0,4.0,ABOVE,neutral,1178.0,11.0,0.0,0.0
21.0,4.0,ABOVE,alcohol,1178.0,1.0,0.0,0.0
21.0,4.0,ABOVE,cigarette,1178.0,1.0,1.0,1.0
21.0,4.0,ABOVE,neutral,1178.0,1.0,0.0,0.0
22.0,4.0,ABOVE,alcohol,1178.0,0.0,0.0,
22.0,4.0,ABOVE,cigarette,1178.0,0.0,0.0,
22.0,4.0,ABOVE,neutral,1178.0,0.0,0.0,
23.0,4.0,ABOVE,alcohol,1178.0,5.0,2.0,0.4
23.0,4.0,ABOVE,cigarette,1178.0,5.0,2.0,0.4
23.0,4.0,ABOVE,neutral,1178.0,5.0,1.0,0.2
24.0,4.0,ABOVE,alcohol,1178.0,0.0,0.0,
24.0,4.0,ABOVE,cigarette,1178.0,0.0,0.0,
24.0,4.0,ABOVE,neutral,1178.0,0.0,0.0,
25.0,4.0,ABOVE,alcohol,1178.0,0.0,0.0,
25.0,4.0,ABOVE,cigarette,1178.0,0.0,0.0,
25.0,4.0,ABOVE,neutral,1178.0,0.0,0.0,
26.0,4.0,ABOVE,alcohol,1178.0,0.0,0.0,
26.0,4.0,ABOVE,cigarette,1178.0,0.0,0.0,
