sub_id,fast_or_slow,med_rt,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,fast,1109.63207688,1.0,alcohol,alcohol,21.0,9.0,7.0,0.777777777778
1.0,fast,1109.63207688,1.0,alcohol,cigarette,21.0,9.0,1.0,0.111111111111
1.0,fast,1109.63207688,1.0,alcohol,neutral,21.0,9.0,1.0,0.111111111111
2.0,fast,787.659935166,1.0,alcohol,alcohol,21.0,32.0,28.0,0.875
2.0,fast,787.659935166,1.0,alcohol,cigarette,21.0,32.0,2.0,0.0625
2.0,fast,787.659935166,1.0,alcohol,neutral,21.0,32.0,2.0,0.0625
3.0,fast,714.775643664,1.0,alcohol,alcohol,21.0,23.0,13.0,0.565217391304
3.0,fast,714.775643664,1.0,alcohol,cigarette,21.0,23.0,7.0,0.304347826087
3.0,fast,714.775643664,1.0,alcohol,neutral,21.0,23.0,3.0,0.130434782609
4.0,fast,494.923803104,1.0,alcohol,alcohol,21.0,38.0,36.0,0.947368421053
4.0,fast,494.923803104,1.0,alcohol,cigarette,21.0,38.0,2.0,0.0526315789474
4.0,fast,494.923803104,1.0,alcohol,neutral,21.0,38.0,0.0,0.0
5.0,fast,1175.12201487,1.0,alcohol,alcohol,21.0,10.0,2.0,0.2
5.0,fast,1175.12201487,1.0,alcohol,cigarette,21.0,10.0,6.0,0.6
5.0,fast,1175.12201487,1.0,alcohol,neutral,21.0,10.0,2.0,0.2
6.0,fast,,1.0,alcohol,alcohol,21.0,0.0,0.0,
6.0,fast,,1.0,alcohol,cigarette,21.0,0.0,0.0,
6.0,fast,,1.0,alcohol,neutral,21.0,0.0,0.0,
7.0,fast,,1.0,alcohol,alcohol,21.0,0.0,0.0,
7.0,fast,,1.0,alcohol,cigarette,21.0,0.0,0.0,
7.0,fast,,1.0,alcohol,neutral,21.0,0.0,0.0,
8.0,fast,759.406887534,1.0,alcohol,alcohol,21.0,10.0,9.0,0.9
8.0,fast,759.406887534,1.0,alcohol,cigarette,21.0,10.0,1.0,0.1
8.0,fast,759.406887534,1.0,alcohol,neutral,21.0,10.0,0.0,0.0
9.0,fast,839.833998265,1.0,alcohol,alcohol,21.0,13.0,11.0,0.846153846154
9.0,fast,839.833998265,1.0,alcohol,cigarette,21.0,13.0,2.0,0.153846153846
9.0,fast,839.833998265,1.0,alcohol,neutral,21.0,13.0,0.0,0.0
10.0,fast,996.7471564,1.0,alcohol,alcohol,21.0,2.0,1.0,0.5
