sub_id,fast_or_slow,med_rt,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,slow,1109.63207688,1.0,alcohol,alcohol,836.0,8.0,2.0,0.25
1.0,slow,1109.63207688,1.0,alcohol,cigarette,836.0,8.0,1.0,0.125
1.0,slow,1109.63207688,1.0,alcohol,neutral,836.0,8.0,5.0,0.625
2.0,slow,787.659935166,1.0,alcohol,alcohol,836.0,17.0,3.0,0.176470588235
2.0,slow,787.659935166,1.0,alcohol,cigarette,836.0,17.0,9.0,0.529411764706
2.0,slow,787.659935166,1.0,alcohol,neutral,836.0,17.0,5.0,0.294117647059
3.0,slow,714.775643664,1.0,alcohol,alcohol,836.0,7.0,1.0,0.142857142857
3.0,slow,714.775643664,1.0,alcohol,cigarette,836.0,7.0,1.0,0.142857142857
3.0,slow,714.775643664,1.0,alcohol,neutral,836.0,7.0,5.0,0.714285714286
4.0,slow,494.923803104,1.0,alcohol,alcohol,836.0,0.0,0.0,
4.0,slow,494.923803104,1.0,alcohol,cigarette,836.0,0.0,0.0,
4.0,slow,494.923803104,1.0,alcohol,neutral,836.0,0.0,0.0,
5.0,slow,1175.12201487,1.0,alcohol,alcohol,836.0,11.0,6.0,0.545454545455
5.0,slow,1175.12201487,1.0,alcohol,cigarette,836.0,11.0,3.0,0.272727272727
5.0,slow,1175.12201487,1.0,alcohol,neutral,836.0,11.0,2.0,0.181818181818
6.0,slow,,1.0,alcohol,alcohol,836.0,0.0,0.0,
6.0,slow,,1.0,alcohol,cigarette,836.0,0.0,0.0,
6.0,slow,,1.0,alcohol,neutral,836.0,0.0,0.0,
7.0,slow,,1.0,alcohol,alcohol,836.0,0.0,0.0,
7.0,slow,,1.0,alcohol,cigarette,836.0,0.0,0.0,
7.0,slow,,1.0,alcohol,neutral,836.0,0.0,0.0,
8.0,slow,759.406887534,1.0,alcohol,alcohol,836.0,7.0,2.0,0.285714285714
8.0,slow,759.406887534,1.0,alcohol,cigarette,836.0,7.0,1.0,0.142857142857
8.0,slow,759.406887534,1.0,alcohol,neutral,836.0,7.0,4.0,0.571428571429
9.0,slow,839.833998265,1.0,alcohol,alcohol,836.0,6.0,2.0,0.333333333333
9.0,slow,839.833998265,1.0,alcohol,cigarette,836.0,6.0,4.0,0.666666666667
9.0,slow,839.833998265,1.0,alcohol,neutral,836.0,6.0,0.0,0.0
10.0,slow,996.7471564,1.0,alcohol,alcohol,836.0,2.0,1.0,0.5
10.0,slow,996.7471564,1.0,alcohol,cigarette,836.0,2.0,1.0,0.5
10.0,slow,996.7471564,1.0,alcohol,neutral,836.0,2.0,0.0,0.0
11.0,slow,1416.85548073,1.0,alcohol,alcohol,836.0,30.0,7.0,0.233333333333
11.0,slow,1416.85548073,1.0,alcohol,cigarette,836.0,30.0,12.0,0.4
11.0,slow,1416.85548073,1.0,alcohol,neutral,836.0,30.0,11.0,0.366666666667
12.0,slow,1192.64400504,1.0,alcohol,alcohol,836.0,11.0,5.0,0.454545454545
12.0,slow,1192.64400504,1.0,alcohol,cigarette,836.0,11.0,3.0,0.272727272727
12.0,slow,1192.64400504,1.0,alcohol,neutral,836.0,11.0,3.0,0.272727272727
13.0,slow,,1.0,alcohol,alcohol,836.0,0.0,0.0,
13.0,slow,,1.0,alcohol,cigarette,836.0,0.0,0.0,
13.0,slow,,1.0,alcohol,neutral,836.0,0.0,0.0,
14.0,slow,1145.94292682,1.0,alcohol,alcohol,836.0,16.0,8.0,0.5
14.0,slow,1145.94292682,1.0,alcohol,cigarette,836.0,16.0,6.0,0.375
14.0,slow,1145.94292682,1.0,alcohol,neutral,836.0,16.0,2.0,0.125
15.0,slow,540.353084323,1.0,alcohol,alcohol,836.0,0.0,0.0,
15.0,slow,540.353084323,1.0,alcohol,cigarette,836.0,0.0,0.0,
15.0,slow,540.353084323,1.0,alcohol,neutral,836.0,0.0,0.0,
16.0,slow,1136.59624262,1.0,alcohol,alcohol,836.0,2.0,2.0,1.0
