sub_id,fast_or_slow,med_rt,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,fast,1109.63207688,1.0,alcohol,alcohol,514.0,7.0,6.0,0.857142857143
1.0,fast,1109.63207688,1.0,alcohol,cigarette,514.0,7.0,1.0,0.142857142857
1.0,fast,1109.63207688,1.0,alcohol,neutral,514.0,7.0,0.0,0.0
2.0,fast,787.659935166,1.0,alcohol,alcohol,514.0,28.0,27.0,0.964285714286
2.0,fast,787.659935166,1.0,alcohol,cigarette,514.0,28.0,1.0,0.0357142857143
2.0,fast,787.659935166,1.0,alcohol,neutral,514.0,28.0,0.0,0.0
3.0,fast,714.775643664,1.0,alcohol,alcohol,514.0,21.0,13.0,0.619047619048
3.0,fast,714.775643664,1.0,alcohol,cigarette,514.0,21.0,5.0,0.238095238095
3.0,fast,714.775643664,1.0,alcohol,neutral,514.0,21.0,3.0,0.142857142857
4.0,fast,494.923803104,1.0,alcohol,alcohol,514.0,0.0,0.0,
4.0,fast,494.923803104,1.0,alcohol,cigarette,514.0,0.0,0.0,
4.0,fast,494.923803104,1.0,alcohol,neutral,514.0,0.0,0.0,
5.0,fast,1175.12201487,1.0,alcohol,alcohol,514.0,10.0,6.0,0.6
5.0,fast,1175.12201487,1.0,alcohol,cigarette,514.0,10.0,1.0,0.1
5.0,fast,1175.12201487,1.0,alcohol,neutral,514.0,10.0,3.0,0.3
6.0,fast,,1.0,alcohol,alcohol,514.0,0.0,0.0,
6.0,fast,,1.0,alcohol,cigarette,514.0,0.0,0.0,
6.0,fast,,1.0,alcohol,neutral,514.0,0.0,0.0,
7.0,fast,,1.0,alcohol,alcohol,514.0,0.0,0.0,
7.0,fast,,1.0,alcohol,cigarette,514.0,0.0,0.0,
7.0,fast,,1.0,alcohol,neutral,514.0,0.0,0.0,
8.0,fast,759.406887534,1.0,alcohol,alcohol,514.0,6.0,6.0,1.0
8.0,fast,759.406887534,1.0,alcohol,cigarette,514.0,6.0,0.0,0.0
8.0,fast,759.406887534,1.0,alcohol,neutral,514.0,6.0,0.0,0.0
9.0,fast,839.833998265,1.0,alcohol,alcohol,514.0,10.0,7.0,0.7
9.0,fast,839.833998265,1.0,alcohol,cigarette,514.0,10.0,2.0,0.2
9.0,fast,839.833998265,1.0,alcohol,neutral,514.0,10.0,1.0,0.1
10.0,fast,996.7471564,1.0,alcohol,alcohol,514.0,2.0,2.0,1.0
10.0,fast,996.7471564,1.0,alcohol,cigarette,514.0,2.0,0.0,0.0
10.0,fast,996.7471564,1.0,alcohol,neutral,514.0,2.0,0.0,0.0
11.0,fast,1416.85548073,1.0,alcohol,alcohol,514.0,31.0,14.0,0.451612903226
11.0,fast,1416.85548073,1.0,alcohol,cigarette,514.0,31.0,11.0,0.354838709677
11.0,fast,1416.85548073,1.0,alcohol,neutral,514.0,31.0,6.0,0.193548387097
12.0,fast,1192.64400504,1.0,alcohol,alcohol,514.0,11.0,9.0,0.818181818182
12.0,fast,1192.64400504,1.0,alcohol,cigarette,514.0,11.0,0.0,0.0
12.0,fast,1192.64400504,1.0,alcohol,neutral,514.0,11.0,2.0,0.181818181818
13.0,fast,,1.0,alcohol,alcohol,514.0,0.0,0.0,
13.0,fast,,1.0,alcohol,cigarette,514.0,0.0,0.0,
13.0,fast,,1.0,alcohol,neutral,514.0,0.0,0.0,
14.0,fast,1145.94292682,1.0,alcohol,alcohol,514.0,17.0,13.0,0.764705882353
14.0,fast,1145.94292682,1.0,alcohol,cigarette,514.0,17.0,3.0,0.176470588235
14.0,fast,1145.94292682,1.0,alcohol,neutral,514.0,17.0,1.0,0.0588235294118
15.0,fast,540.353084323,1.0,alcohol,alcohol,514.0,0.0,0.0,
15.0,fast,540.353084323,1.0,alcohol,cigarette,514.0,0.0,0.0,
15.0,fast,540.353084323,1.0,alcohol,neutral,514.0,0.0,0.0,
16.0,fast,1136.59624262,1.0,alcohol,alcohol,514.0,2.0,1.0,0.5
16.0,fast,1136.59624262,1.0,alcohol,cigarette,514.0,2.0,1.0,0.5
16.0,fast,1136.59624262,1.0,alcohol,neutral,514.0,2.0,0.0,0.0
17.0,fast,1099.1842882,1.0,alcohol,alcohol,514.0,4.0,2.0,0.5
17.0,fast,1099.1842882,1.0,alcohol,cigarette,514.0,4.0,2.0,0.5
17.0,fast,1099.1842882,1.0,alcohol,neutral,514.0,4.0,0.0,0.0
18.0,fast,2557.74806908,1.0,alcohol,alcohol,514.0,1.0,1.0,1.0
18.0,fast,2557.74806908,1.0,alcohol,cigarette,514.0,1.0,0.0,0.0
18.0,fast,2557.74806908,1.0,alcohol,neutral,514.0,1.0,0.0,0.0
19.0,fast,833.487054285,1.0,alcohol,alcohol,514.0,19.0,18.0,0.947368421053
19.0,fast,833.487054285,1.0,alcohol,cigarette,514.0,19.0,0.0,0.0
19.0,fast,833.487054285,1.0,alcohol,neutral,514.0,19.0,1.0,0.0526315789474
20.0,fast,1440.76524575,1.0,alcohol,alcohol,514.0,16.0,11.0,0.6875
20.0,fast,1440.76524575,1.0,alcohol,cigarette,514.0,16.0,5.0,0.3125
20.0,fast,1440.76524575,1.0,alcohol,neutral,514.0,16.0,0.0,0.0
21.0,fast,765.445645484,1.0,alcohol,alcohol,514.0,10.0,6.0,0.6
21.0,fast,765.445645484,1.0,alcohol,cigarette,514.0,10.0,2.0,0.2
21.0,fast,765.445645484,1.0,alcohol,neutral,514.0,10.0,2.0,0.2
22.0,fast,691.783154336,1.0,alcohol,alcohol,514.0,11.0,11.0,1.0
22.0,fast,691.783154336,1.0,alcohol,cigarette,514.0,11.0,0.0,0.0
22.0,fast,691.783154336,1.0,alcohol,neutral,514.0,11.0,0.0,0.0
23.0,fast,645.030145974,1.0,alcohol,alcohol,514.0,7.0,5.0,0.714285714286
23.0,fast,645.030145974,1.0,alcohol,cigarette,514.0,7.0,1.0,0.142857142857
23.0,fast,645.030145974,1.0,alcohol,neutral,514.0,7.0,1.0,0.142857142857
24.0,fast,965.497143694,1.0,alcohol,alcohol,514.0,17.0,7.0,0.411764705882
24.0,fast,965.497143694,1.0,alcohol,cigarette,514.0,17.0,5.0,0.294117647059
24.0,fast,965.497143694,1.0,alcohol,neutral,514.0,17.0,5.0,0.294117647059
25.0,fast,791.54923501,1.0,alcohol,alcohol,514.0,21.0,16.0,0.761904761905
25.0,fast,791.54923501,1.0,alcohol,cigarette,514.0,21.0,1.0,0.047619047619
25.0,fast,791.54923501,1.0,alcohol,neutral,514.0,21.0,4.0,0.190476190476
