sub_id,fast_or_slow,med_rt,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,slow,1109.63207688,1.0,alcohol,alcohol,240.0,4.0,1.0,0.25
1.0,slow,1109.63207688,1.0,alcohol,cigarette,240.0,4.0,1.0,0.25
1.0,slow,1109.63207688,1.0,alcohol,neutral,240.0,4.0,2.0,0.5
2.0,slow,787.659935166,1.0,alcohol,alcohol,240.0,27.0,7.0,0.259259259259
2.0,slow,787.659935166,1.0,alcohol,cigarette,240.0,27.0,14.0,0.518518518519
2.0,slow,787.659935166,1.0,alcohol,neutral,240.0,27.0,6.0,0.222222222222
3.0,slow,714.775643664,1.0,alcohol,alcohol,240.0,22.0,7.0,0.318181818182
3.0,slow,714.775643664,1.0,alcohol,cigarette,240.0,22.0,10.0,0.454545454545
3.0,slow,714.775643664,1.0,alcohol,neutral,240.0,22.0,5.0,0.227272727273
4.0,slow,494.923803104,1.0,alcohol,alcohol,240.0,30.0,12.0,0.4
4.0,slow,494.923803104,1.0,alcohol,cigarette,240.0,30.0,13.0,0.433333333333
4.0,slow,494.923803104,1.0,alcohol,neutral,240.0,30.0,5.0,0.166666666667
5.0,slow,1175.12201487,1.0,alcohol,alcohol,240.0,10.0,5.0,0.5
5.0,slow,1175.12201487,1.0,alcohol,cigarette,240.0,10.0,3.0,0.3
5.0,slow,1175.12201487,1.0,alcohol,neutral,240.0,10.0,2.0,0.2
6.0,slow,,1.0,alcohol,alcohol,240.0,0.0,0.0,
6.0,slow,,1.0,alcohol,cigarette,240.0,0.0,0.0,
6.0,slow,,1.0,alcohol,neutral,240.0,0.0,0.0,
7.0,slow,,1.0,alcohol,alcohol,240.0,0.0,0.0,
7.0,slow,,1.0,alcohol,cigarette,240.0,0.0,0.0,
7.0,slow,,1.0,alcohol,neutral,240.0,0.0,0.0,
8.0,slow,759.406887534,1.0,alcohol,alcohol,240.0,6.0,2.0,0.333333333333
8.0,slow,759.406887534,1.0,alcohol,cigarette,240.0,6.0,2.0,0.333333333333
8.0,slow,759.406887534,1.0,alcohol,neutral,240.0,6.0,2.0,0.333333333333
9.0,slow,839.833998265,1.0,alcohol,alcohol,240.0,10.0,3.0,0.3
9.0,slow,839.833998265,1.0,alcohol,cigarette,240.0,10.0,6.0,0.6
9.0,slow,839.833998265,1.0,alcohol,neutral,240.0,10.0,1.0,0.1
10.0,slow,996.7471564,1.0,alcohol,alcohol,240.0,2.0,1.0,0.5
10.0,slow,996.7471564,1.0,alcohol,cigarette,240.0,2.0,0.0,0.0
10.0,slow,996.7471564,1.0,alcohol,neutral,240.0,2.0,1.0,0.5
11.0,slow,1416.85548073,1.0,alcohol,alcohol,240.0,25.0,9.0,0.36
11.0,slow,1416.85548073,1.0,alcohol,cigarette,240.0,25.0,9.0,0.36
11.0,slow,1416.85548073,1.0,alcohol,neutral,240.0,25.0,7.0,0.28
12.0,slow,1192.64400504,1.0,alcohol,alcohol,240.0,10.0,2.0,0.2
12.0,slow,1192.64400504,1.0,alcohol,cigarette,240.0,10.0,6.0,0.6
12.0,slow,1192.64400504,1.0,alcohol,neutral,240.0,10.0,2.0,0.2
13.0,slow,,1.0,alcohol,alcohol,240.0,0.0,0.0,
13.0,slow,,1.0,alcohol,cigarette,240.0,0.0,0.0,
13.0,slow,,1.0,alcohol,neutral,240.0,0.0,0.0,
14.0,slow,1145.94292682,1.0,alcohol,alcohol,240.0,13.0,4.0,0.307692307692
14.0,slow,1145.94292682,1.0,alcohol,cigarette,240.0,13.0,8.0,0.615384615385
14.0,slow,1145.94292682,1.0,alcohol,neutral,240.0,13.0,1.0,0.0769230769231
15.0,slow,540.353084323,1.0,alcohol,alcohol,240.0,1.0,1.0,1.0
15.0,slow,540.353084323,1.0,alcohol,cigarette,240.0,1.0,0.0,0.0
15.0,slow,540.353084323,1.0,alcohol,neutral,240.0,1.0,0.0,0.0
16.0,slow,1136.59624262,1.0,alcohol,alcohol,240.0,1.0,0.0,0.0
16.0,slow,1136.59624262,1.0,alcohol,cigarette,240.0,1.0,1.0,1.0
16.0,slow,1136.59624262,1.0,alcohol,neutral,240.0,1.0,0.0,0.0
17.0,slow,1099.1842882,1.0,alcohol,alcohol,240.0,0.0,0.0,
17.0,slow,1099.1842882,1.0,alcohol,cigarette,240.0,0.0,0.0,
17.0,slow,1099.1842882,1.0,alcohol,neutral,240.0,0.0,0.0,
18.0,slow,2557.74806908,1.0,alcohol,alcohol,240.0,1.0,1.0,1.0
18.0,slow,2557.74806908,1.0,alcohol,cigarette,240.0,1.0,0.0,0.0
18.0,slow,2557.74806908,1.0,alcohol,neutral,240.0,1.0,0.0,0.0
19.0,slow,833.487054285,1.0,alcohol,alcohol,240.0,10.0,3.0,0.3
19.0,slow,833.487054285,1.0,alcohol,cigarette,240.0,10.0,2.0,0.2
19.0,slow,833.487054285,1.0,alcohol,neutral,240.0,10.0,5.0,0.5
20.0,slow,1440.76524575,1.0,alcohol,alcohol,240.0,11.0,2.0,0.181818181818
20.0,slow,1440.76524575,1.0,alcohol,cigarette,240.0,11.0,7.0,0.636363636364
20.0,slow,1440.76524575,1.0,alcohol,neutral,240.0,11.0,2.0,0.181818181818
21.0,slow,765.445645484,1.0,alcohol,alcohol,240.0,8.0,4.0,0.5
21.0,slow,765.445645484,1.0,alcohol,cigarette,240.0,8.0,0.0,0.0
21.0,slow,765.445645484,1.0,alcohol,neutral,240.0,8.0,4.0,0.5
22.0,slow,691.783154336,1.0,alcohol,alcohol,240.0,10.0,6.0,0.6
22.0,slow,691.783154336,1.0,alcohol,cigarette,240.0,10.0,1.0,0.1
22.0,slow,691.783154336,1.0,alcohol,neutral,240.0,10.0,3.0,0.3
23.0,slow,645.030145974,1.0,alcohol,alcohol,240.0,11.0,7.0,0.636363636364
23.0,slow,645.030145974,1.0,alcohol,cigarette,240.0,11.0,2.0,0.181818181818
23.0,slow,645.030145974,1.0,alcohol,neutral,240.0,11.0,2.0,0.181818181818
24.0,slow,965.497143694,1.0,alcohol,alcohol,240.0,16.0,3.0,0.1875
24.0,slow,965.497143694,1.0,alcohol,cigarette,240.0,16.0,6.0,0.375
24.0,slow,965.497143694,1.0,alcohol,neutral,240.0,16.0,7.0,0.4375
25.0,slow,791.54923501,1.0,alcohol,alcohol,240.0,24.0,9.0,0.375
25.0,slow,791.54923501,1.0,alcohol,cigarette,240.0,24.0,11.0,0.458333333333
25.0,slow,791.54923501,1.0,alcohol,neutral,240.0,24.0,4.0,0.166666666667
26.0,slow,4005.40861939,1.0,alcohol,alcohol,240.0,0.0,0.0,
26.0,slow,4005.40861939,1.0,alcohol,cigarette,240.0,0.0,0.0,
