sub_id,avg_time_looking_at_pref,avg_percentage_looking_at_pref,avg_time_looking_at_alc,avg_percentage_looking_at_alc,avg_time_looking_at_cig,avg_percentage_looking_at_cig,avg_time_looking_at_neu,avg_percentage_looking_at_neu,avg_response_time
cret01,111.979166667,0.0932903320994,29.6666666667,0.0152656126119,50.3819444444,0.0373795727696,111.979166667,0.0932903320994,933.002580971
cret03,344.355263158,0.280158313656,290.855263158,0.216295204204,191.631578947,0.146077590068,161.013157895,0.123686957517,1201.22216573
cret04,385.590604027,0.457583563262,391.563758389,0.462208257828,198.469798658,0.194896964155,127.053691275,0.118556836094,900.407387285
cret05,399.569536424,0.401552869567,401.178807947,0.396535881736,238.033112583,0.219374166645,202.509933775,0.162207207542,1033.80672429
cret06,258.088607595,0.483578097391,257.35443038,0.482986674325,44.746835443,0.0776396013349,13.2911392405,0.0215424885148,528.512925892
cret07,544.682170543,0.440519296156,502.333333333,0.390559951396,381.76744186,0.287530616137,285.868217054,0.22618516083,1276.06372374
cret08,654.746478873,0.481303507727,393.049295775,0.224000733565,653.323943662,0.480749345198,178.76056338,0.107695411008,1448.24923713
cret09,381.178861789,0.463498832861,67.5284552846,0.0743853475326,381.178861789,0.463498832861,61.6422764228,0.0701177166537,802.219383173
cret10,474.511450382,0.609707209993,285.20610687,0.339694288527,238.312977099,0.303177420381,163.282442748,0.192454709305,807.277281448
cret11,296.872611465,0.302202565591,247.484076433,0.233018087103,186.203821656,0.177640714231,135.579617834,0.11980140174,978.660155333
