sub_id,fast_or_slow,med_rt,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,fast,1469.65162739,3.0,alcohol,alcohol,322.0,1.0,1.0,1.0
1.0,fast,1469.65162739,3.0,alcohol,cigarette,322.0,1.0,0.0,0.0
1.0,fast,1469.65162739,3.0,alcohol,neutral,322.0,1.0,0.0,0.0
2.0,fast,680.538615854,3.0,alcohol,alcohol,322.0,15.0,14.0,0.933333333333
2.0,fast,680.538615854,3.0,alcohol,cigarette,322.0,15.0,0.0,0.0
2.0,fast,680.538615854,3.0,alcohol,neutral,322.0,15.0,1.0,0.0666666666667
3.0,fast,787.299907178,3.0,alcohol,alcohol,322.0,14.0,10.0,0.714285714286
3.0,fast,787.299907178,3.0,alcohol,cigarette,322.0,14.0,3.0,0.214285714286
3.0,fast,787.299907178,3.0,alcohol,neutral,322.0,14.0,1.0,0.0714285714286
4.0,fast,,3.0,alcohol,alcohol,322.0,0.0,0.0,
4.0,fast,,3.0,alcohol,cigarette,322.0,0.0,0.0,
4.0,fast,,3.0,alcohol,neutral,322.0,0.0,0.0,
5.0,fast,1383.29582513,3.0,alcohol,alcohol,322.0,8.0,4.0,0.5
5.0,fast,1383.29582513,3.0,alcohol,cigarette,322.0,8.0,1.0,0.125
5.0,fast,1383.29582513,3.0,alcohol,neutral,322.0,8.0,3.0,0.375
6.0,fast,,3.0,alcohol,alcohol,322.0,0.0,0.0,
6.0,fast,,3.0,alcohol,cigarette,322.0,0.0,0.0,
6.0,fast,,3.0,alcohol,neutral,322.0,0.0,0.0,
7.0,fast,,3.0,alcohol,alcohol,322.0,0.0,0.0,
7.0,fast,,3.0,alcohol,cigarette,322.0,0.0,0.0,
7.0,fast,,3.0,alcohol,neutral,322.0,0.0,0.0,
8.0,fast,778.393762221,3.0,alcohol,alcohol,322.0,4.0,4.0,1.0
8.0,fast,778.393762221,3.0,alcohol,cigarette,322.0,4.0,0.0,0.0
8.0,fast,778.393762221,3.0,alcohol,neutral,322.0,4.0,0.0,0.0
9.0,fast,1151.11602044,3.0,alcohol,alcohol,322.0,7.0,2.0,0.285714285714
9.0,fast,1151.11602044,3.0,alcohol,cigarette,322.0,7.0,4.0,0.571428571429
9.0,fast,1151.11602044,3.0,alcohol,neutral,322.0,7.0,1.0,0.142857142857
10.0,fast,1180.74025351,3.0,alcohol,alcohol,322.0,12.0,4.0,0.333333333333
10.0,fast,1180.74025351,3.0,alcohol,cigarette,322.0,12.0,6.0,0.5
10.0,fast,1180.74025351,3.0,alcohol,neutral,322.0,12.0,2.0,0.166666666667
11.0,fast,1422.55259655,3.0,alcohol,alcohol,322.0,10.0,4.0,0.4
11.0,fast,1422.55259655,3.0,alcohol,cigarette,322.0,10.0,3.0,0.3
11.0,fast,1422.55259655,3.0,alcohol,neutral,322.0,10.0,3.0,0.3
12.0,fast,1158.10307777,3.0,alcohol,alcohol,322.0,4.0,2.0,0.5
12.0,fast,1158.10307777,3.0,alcohol,cigarette,322.0,4.0,0.0,0.0
12.0,fast,1158.10307777,3.0,alcohol,neutral,322.0,4.0,2.0,0.5
13.0,fast,,3.0,alcohol,alcohol,322.0,0.0,0.0,
13.0,fast,,3.0,alcohol,cigarette,322.0,0.0,0.0,
13.0,fast,,3.0,alcohol,neutral,322.0,0.0,0.0,
14.0,fast,1195.5075597,3.0,alcohol,alcohol,322.0,15.0,8.0,0.533333333333
14.0,fast,1195.5075597,3.0,alcohol,cigarette,322.0,15.0,4.0,0.266666666667
14.0,fast,1195.5075597,3.0,alcohol,neutral,322.0,15.0,3.0,0.2
15.0,fast,663.355289831,3.0,alcohol,alcohol,322.0,1.0,0.0,0.0
15.0,fast,663.355289831,3.0,alcohol,cigarette,322.0,1.0,0.0,0.0
15.0,fast,663.355289831,3.0,alcohol,neutral,322.0,1.0,1.0,1.0
