sub_id,fast_or_slow,med_rt,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,slow,1469.65162739,3.0,alcohol,alcohol,1617.0,2.0,1.0,0.5
1.0,slow,1469.65162739,3.0,alcohol,cigarette,1617.0,2.0,0.0,0.0
1.0,slow,1469.65162739,3.0,alcohol,neutral,1617.0,2.0,1.0,0.5
2.0,slow,680.538615854,3.0,alcohol,alcohol,1617.0,0.0,0.0,
2.0,slow,680.538615854,3.0,alcohol,cigarette,1617.0,0.0,0.0,
2.0,slow,680.538615854,3.0,alcohol,neutral,1617.0,0.0,0.0,
3.0,slow,787.299907178,3.0,alcohol,alcohol,1617.0,2.0,1.0,0.5
3.0,slow,787.299907178,3.0,alcohol,cigarette,1617.0,2.0,0.0,0.0
3.0,slow,787.299907178,3.0,alcohol,neutral,1617.0,2.0,1.0,0.5
4.0,slow,,3.0,alcohol,alcohol,1617.0,0.0,0.0,
4.0,slow,,3.0,alcohol,cigarette,1617.0,0.0,0.0,
4.0,slow,,3.0,alcohol,neutral,1617.0,0.0,0.0,
5.0,slow,1383.29582513,3.0,alcohol,alcohol,1617.0,6.0,3.0,0.5
5.0,slow,1383.29582513,3.0,alcohol,cigarette,1617.0,6.0,1.0,0.166666666667
5.0,slow,1383.29582513,3.0,alcohol,neutral,1617.0,6.0,2.0,0.333333333333
6.0,slow,,3.0,alcohol,alcohol,1617.0,0.0,0.0,
6.0,slow,,3.0,alcohol,cigarette,1617.0,0.0,0.0,
6.0,slow,,3.0,alcohol,neutral,1617.0,0.0,0.0,
7.0,slow,,3.0,alcohol,alcohol,1617.0,0.0,0.0,
7.0,slow,,3.0,alcohol,cigarette,1617.0,0.0,0.0,
7.0,slow,,3.0,alcohol,neutral,1617.0,0.0,0.0,
8.0,slow,778.393762221,3.0,alcohol,alcohol,1617.0,0.0,0.0,
8.0,slow,778.393762221,3.0,alcohol,cigarette,1617.0,0.0,0.0,
8.0,slow,778.393762221,3.0,alcohol,neutral,1617.0,0.0,0.0,
9.0,slow,1151.11602044,3.0,alcohol,alcohol,1617.0,1.0,0.0,0.0
9.0,slow,1151.11602044,3.0,alcohol,cigarette,1617.0,1.0,1.0,1.0
9.0,slow,1151.11602044,3.0,alcohol,neutral,1617.0,1.0,0.0,0.0
10.0,slow,1180.74025351,3.0,alcohol,alcohol,1617.0,3.0,1.0,0.333333333333
10.0,slow,1180.74025351,3.0,alcohol,cigarette,1617.0,3.0,0.0,0.0
10.0,slow,1180.74025351,3.0,alcohol,neutral,1617.0,3.0,2.0,0.666666666667
11.0,slow,1422.55259655,3.0,alcohol,alcohol,1617.0,5.0,2.0,0.4
11.0,slow,1422.55259655,3.0,alcohol,cigarette,1617.0,5.0,2.0,0.4
11.0,slow,1422.55259655,3.0,alcohol,neutral,1617.0,5.0,1.0,0.2
12.0,slow,1158.10307777,3.0,alcohol,alcohol,1617.0,0.0,0.0,
12.0,slow,1158.10307777,3.0,alcohol,cigarette,1617.0,0.0,0.0,
12.0,slow,1158.10307777,3.0,alcohol,neutral,1617.0,0.0,0.0,
13.0,slow,,3.0,alcohol,alcohol,1617.0,0.0,0.0,
13.0,slow,,3.0,alcohol,cigarette,1617.0,0.0,0.0,
13.0,slow,,3.0,alcohol,neutral,1617.0,0.0,0.0,
14.0,slow,1195.5075597,3.0,alcohol,alcohol,1617.0,4.0,3.0,0.75
14.0,slow,1195.5075597,3.0,alcohol,cigarette,1617.0,4.0,1.0,0.25
14.0,slow,1195.5075597,3.0,alcohol,neutral,1617.0,4.0,0.0,0.0
15.0,slow,663.355289831,3.0,alcohol,alcohol,1617.0,0.0,0.0,
15.0,slow,663.355289831,3.0,alcohol,cigarette,1617.0,0.0,0.0,
15.0,slow,663.355289831,3.0,alcohol,neutral,1617.0,0.0,0.0,
16.0,slow,729.838310523,3.0,alcohol,alcohol,1617.0,0.0,0.0,
16.0,slow,729.838310523,3.0,alcohol,cigarette,1617.0,0.0,0.0,
16.0,slow,729.838310523,3.0,alcohol,neutral,1617.0,0.0,0.0,
17.0,slow,1187.71739442,3.0,alcohol,alcohol,1617.0,2.0,2.0,1.0
17.0,slow,1187.71739442,3.0,alcohol,cigarette,1617.0,2.0,0.0,0.0
17.0,slow,1187.71739442,3.0,alcohol,neutral,1617.0,2.0,0.0,0.0
18.0,slow,1241.08054624,3.0,alcohol,alcohol,1617.0,3.0,2.0,0.666666666667
18.0,slow,1241.08054624,3.0,alcohol,cigarette,1617.0,3.0,0.0,0.0
18.0,slow,1241.08054624,3.0,alcohol,neutral,1617.0,3.0,1.0,0.333333333333
19.0,slow,859.46126256,3.0,alcohol,alcohol,1617.0,1.0,1.0,1.0
19.0,slow,859.46126256,3.0,alcohol,cigarette,1617.0,1.0,0.0,0.0
19.0,slow,859.46126256,3.0,alcohol,neutral,1617.0,1.0,0.0,0.0
20.0,slow,1267.13414138,3.0,alcohol,alcohol,1617.0,5.0,4.0,0.8
20.0,slow,1267.13414138,3.0,alcohol,cigarette,1617.0,5.0,0.0,0.0
20.0,slow,1267.13414138,3.0,alcohol,neutral,1617.0,5.0,1.0,0.2
21.0,slow,1044.75984619,3.0,alcohol,alcohol,1617.0,3.0,1.0,0.333333333333
21.0,slow,1044.75984619,3.0,alcohol,cigarette,1617.0,3.0,1.0,0.333333333333
21.0,slow,1044.75984619,3.0,alcohol,neutral,1617.0,3.0,1.0,0.333333333333
22.0,slow,1005.7747195,3.0,alcohol,alcohol,1617.0,2.0,2.0,1.0
22.0,slow,1005.7747195,3.0,alcohol,cigarette,1617.0,2.0,0.0,0.0
22.0,slow,1005.7747195,3.0,alcohol,neutral,1617.0,2.0,0.0,0.0
23.0,slow,911.198638022,3.0,alcohol,alcohol,1617.0,0.0,0.0,
23.0,slow,911.198638022,3.0,alcohol,cigarette,1617.0,0.0,0.0,
23.0,slow,911.198638022,3.0,alcohol,neutral,1617.0,0.0,0.0,
24.0,slow,1009.12900423,3.0,alcohol,alcohol,1617.0,0.0,0.0,
24.0,slow,1009.12900423,3.0,alcohol,cigarette,1617.0,0.0,0.0,
24.0,slow,1009.12900423,3.0,alcohol,neutral,1617.0,0.0,0.0,
25.0,slow,943.427672348,3.0,alcohol,alcohol,1617.0,3.0,2.0,0.666666666667
25.0,slow,943.427672348,3.0,alcohol,cigarette,1617.0,3.0,0.0,0.0
25.0,slow,943.427672348,3.0,alcohol,neutral,1617.0,3.0,1.0,0.333333333333
26.0,slow,508.321146828,3.0,alcohol,alcohol,1617.0,0.0,0.0,
26.0,slow,508.321146828,3.0,alcohol,cigarette,1617.0,0.0,0.0,
26.0,slow,508.321146828,3.0,alcohol,neutral,1617.0,0.0,0.0,
27.0,slow,,3.0,alcohol,alcohol,1617.0,0.0,0.0,
27.0,slow,,3.0,alcohol,cigarette,1617.0,0.0,0.0,
27.0,slow,,3.0,alcohol,neutral,1617.0,0.0,0.0,
28.0,slow,887.232094403,3.0,alcohol,alcohol,1617.0,3.0,2.0,0.666666666667
28.0,slow,887.232094403,3.0,alcohol,cigarette,1617.0,3.0,1.0,0.333333333333
28.0,slow,887.232094403,3.0,alcohol,neutral,1617.0,3.0,0.0,0.0
29.0,slow,3645.47518229,3.0,alcohol,alcohol,1617.0,13.0,7.0,0.538461538462
29.0,slow,3645.47518229,3.0,alcohol,cigarette,1617.0,13.0,2.0,0.153846153846
29.0,slow,3645.47518229,3.0,alcohol,neutral,1617.0,13.0,4.0,0.307692307692
1.0,slow,,3.0,cigarette,alcohol,1617.0,0.0,0.0,
1.0,slow,,3.0,cigarette,cigarette,1617.0,0.0,0.0,
1.0,slow,,3.0,cigarette,neutral,1617.0,0.0,0.0,
2.0,slow,,3.0,cigarette,alcohol,1617.0,0.0,0.0,
2.0,slow,,3.0,cigarette,cigarette,1617.0,0.0,0.0,
2.0,slow,,3.0,cigarette,neutral,1617.0,0.0,0.0,
3.0,slow,,3.0,cigarette,alcohol,1617.0,0.0,0.0,
3.0,slow,,3.0,cigarette,cigarette,1617.0,0.0,0.0,
3.0,slow,,3.0,cigarette,neutral,1617.0,0.0,0.0,
4.0,slow,,3.0,cigarette,alcohol,1617.0,0.0,0.0,
4.0,slow,,3.0,cigarette,cigarette,1617.0,0.0,0.0,
4.0,slow,,3.0,cigarette,neutral,1617.0,0.0,0.0,
5.0,slow,1102.63986687,3.0,cigarette,alcohol,1617.0,2.0,1.0,0.5
5.0,slow,1102.63986687,3.0,cigarette,cigarette,1617.0,2.0,0.0,0.0
5.0,slow,1102.63986687,3.0,cigarette,neutral,1617.0,2.0,1.0,0.5
6.0,slow,1404.03894783,3.0,cigarette,alcohol,1617.0,12.0,3.0,0.25
6.0,slow,1404.03894783,3.0,cigarette,cigarette,1617.0,12.0,6.0,0.5
6.0,slow,1404.03894783,3.0,cigarette,neutral,1617.0,12.0,3.0,0.25
7.0,slow,823.056795771,3.0,cigarette,alcohol,1617.0,1.0,1.0,1.0
7.0,slow,823.056795771,3.0,cigarette,cigarette,1617.0,1.0,0.0,0.0
7.0,slow,823.056795771,3.0,cigarette,neutral,1617.0,1.0,0.0,0.0
8.0,slow,768.824638594,3.0,cigarette,alcohol,1617.0,1.0,0.0,0.0
8.0,slow,768.824638594,3.0,cigarette,cigarette,1617.0,1.0,1.0,1.0
8.0,slow,768.824638594,3.0,cigarette,neutral,1617.0,1.0,0.0,0.0
9.0,slow,1661.60279701,3.0,cigarette,alcohol,1617.0,0.0,0.0,
9.0,slow,1661.60279701,3.0,cigarette,cigarette,1617.0,0.0,0.0,
9.0,slow,1661.60279701,3.0,cigarette,neutral,1617.0,0.0,0.0,
10.0,slow,912.081001489,3.0,cigarette,alcohol,1617.0,0.0,0.0,
10.0,slow,912.081001489,3.0,cigarette,cigarette,1617.0,0.0,0.0,
10.0,slow,912.081001489,3.0,cigarette,neutral,1617.0,0.0,0.0,
11.0,slow,1013.81575168,3.0,cigarette,alcohol,1617.0,1.0,0.0,0.0
11.0,slow,1013.81575168,3.0,cigarette,cigarette,1617.0,1.0,1.0,1.0
11.0,slow,1013.81575168,3.0,cigarette,neutral,1617.0,1.0,0.0,0.0
12.0,slow,,3.0,cigarette,alcohol,1617.0,0.0,0.0,
12.0,slow,,3.0,cigarette,cigarette,1617.0,0.0,0.0,
12.0,slow,,3.0,cigarette,neutral,1617.0,0.0,0.0,
13.0,slow,,3.0,cigarette,alcohol,1617.0,0.0,0.0,
13.0,slow,,3.0,cigarette,cigarette,1617.0,0.0,0.0,
13.0,slow,,3.0,cigarette,neutral,1617.0,0.0,0.0,
14.0,slow,,3.0,cigarette,alcohol,1617.0,0.0,0.0,
14.0,slow,,3.0,cigarette,cigarette,1617.0,0.0,0.0,
14.0,slow,,3.0,cigarette,neutral,1617.0,0.0,0.0,
15.0,slow,696.688127346,3.0,cigarette,alcohol,1617.0,2.0,1.0,0.5
15.0,slow,696.688127346,3.0,cigarette,cigarette,1617.0,2.0,1.0,0.5
15.0,slow,696.688127346,3.0,cigarette,neutral,1617.0,2.0,0.0,0.0
16.0,slow,891.052927618,3.0,cigarette,alcohol,1617.0,3.0,1.0,0.333333333333
16.0,slow,891.052927618,3.0,cigarette,cigarette,1617.0,3.0,2.0,0.666666666667
16.0,slow,891.052927618,3.0,cigarette,neutral,1617.0,3.0,0.0,0.0
17.0,slow,,3.0,cigarette,alcohol,1617.0,0.0,0.0,
17.0,slow,,3.0,cigarette,cigarette,1617.0,0.0,0.0,
17.0,slow,,3.0,cigarette,neutral,1617.0,0.0,0.0,
18.0,slow,,3.0,cigarette,alcohol,1617.0,0.0,0.0,
18.0,slow,,3.0,cigarette,cigarette,1617.0,0.0,0.0,
18.0,slow,,3.0,cigarette,neutral,1617.0,0.0,0.0,
19.0,slow,,3.0,cigarette,alcohol,1617.0,0.0,0.0,
19.0,slow,,3.0,cigarette,cigarette,1617.0,0.0,0.0,
19.0,slow,,3.0,cigarette,neutral,1617.0,0.0,0.0,
20.0,slow,,3.0,cigarette,alcohol,1617.0,0.0,0.0,
20.0,slow,,3.0,cigarette,cigarette,1617.0,0.0,0.0,
20.0,slow,,3.0,cigarette,neutral,1617.0,0.0,0.0,
21.0,slow,883.453614587,3.0,cigarette,alcohol,1617.0,2.0,0.0,0.0
21.0,slow,883.453614587,3.0,cigarette,cigarette,1617.0,2.0,1.0,0.5
21.0,slow,883.453614587,3.0,cigarette,neutral,1617.0,2.0,1.0,0.5
22.0,slow,831.041823341,3.0,cigarette,alcohol,1617.0,0.0,0.0,
22.0,slow,831.041823341,3.0,cigarette,cigarette,1617.0,0.0,0.0,
22.0,slow,831.041823341,3.0,cigarette,neutral,1617.0,0.0,0.0,
23.0,slow,544.088426544,3.0,cigarette,alcohol,1617.0,0.0,0.0,
23.0,slow,544.088426544,3.0,cigarette,cigarette,1617.0,0.0,0.0,
23.0,slow,544.088426544,3.0,cigarette,neutral,1617.0,0.0,0.0,
24.0,slow,1036.26772847,3.0,cigarette,alcohol,1617.0,0.0,0.0,
24.0,slow,1036.26772847,3.0,cigarette,cigarette,1617.0,0.0,0.0,
24.0,slow,1036.26772847,3.0,cigarette,neutral,1617.0,0.0,0.0,
25.0,slow,885.038541736,3.0,cigarette,alcohol,1617.0,0.0,0.0,
25.0,slow,885.038541736,3.0,cigarette,cigarette,1617.0,0.0,0.0,
25.0,slow,885.038541736,3.0,cigarette,neutral,1617.0,0.0,0.0,
26.0,slow,1832.03360933,3.0,cigarette,alcohol,1617.0,2.0,0.0,0.0
26.0,slow,1832.03360933,3.0,cigarette,cigarette,1617.0,2.0,1.0,0.5
26.0,slow,1832.03360933,3.0,cigarette,neutral,1617.0,2.0,1.0,0.5
27.0,slow,1288.99855702,3.0,cigarette,alcohol,1617.0,4.0,0.0,0.0
27.0,slow,1288.99855702,3.0,cigarette,cigarette,1617.0,4.0,1.0,0.25
27.0,slow,1288.99855702,3.0,cigarette,neutral,1617.0,4.0,3.0,0.75
28.0,slow,840.425526938,3.0,cigarette,alcohol,1617.0,0.0,0.0,
28.0,slow,840.425526938,3.0,cigarette,cigarette,1617.0,0.0,0.0,
28.0,slow,840.425526938,3.0,cigarette,neutral,1617.0,0.0,0.0,
29.0,slow,5893.18957287,3.0,cigarette,alcohol,1617.0,1.0,1.0,1.0
29.0,slow,5893.18957287,3.0,cigarette,cigarette,1617.0,1.0,0.0,0.0
29.0,slow,5893.18957287,3.0,cigarette,neutral,1617.0,1.0,0.0,0.0
1.0,slow,,3.0,neutral,alcohol,1617.0,0.0,0.0,
1.0,slow,,3.0,neutral,cigarette,1617.0,0.0,0.0,
1.0,slow,,3.0,neutral,neutral,1617.0,0.0,0.0,
2.0,slow,,3.0,neutral,alcohol,1617.0,0.0,0.0,
2.0,slow,,3.0,neutral,cigarette,1617.0,0.0,0.0,
2.0,slow,,3.0,neutral,neutral,1617.0,0.0,0.0,
3.0,slow,692.579792404,3.0,neutral,alcohol,1617.0,0.0,0.0,
3.0,slow,692.579792404,3.0,neutral,cigarette,1617.0,0.0,0.0,
3.0,slow,692.579792404,3.0,neutral,neutral,1617.0,0.0,0.0,
4.0,slow,,3.0,neutral,alcohol,1617.0,0.0,0.0,
4.0,slow,,3.0,neutral,cigarette,1617.0,0.0,0.0,
4.0,slow,,3.0,neutral,neutral,1617.0,0.0,0.0,
5.0,slow,1380.94829179,3.0,neutral,alcohol,1617.0,2.0,1.0,0.5
5.0,slow,1380.94829179,3.0,neutral,cigarette,1617.0,2.0,0.0,0.0
5.0,slow,1380.94829179,3.0,neutral,neutral,1617.0,2.0,1.0,0.5
6.0,slow,,3.0,neutral,alcohol,1617.0,0.0,0.0,
6.0,slow,,3.0,neutral,cigarette,1617.0,0.0,0.0,
6.0,slow,,3.0,neutral,neutral,1617.0,0.0,0.0,
7.0,slow,,3.0,neutral,alcohol,1617.0,0.0,0.0,
7.0,slow,,3.0,neutral,cigarette,1617.0,0.0,0.0,
7.0,slow,,3.0,neutral,neutral,1617.0,0.0,0.0,
8.0,slow,1203.43008721,3.0,neutral,alcohol,1617.0,0.0,0.0,
8.0,slow,1203.43008721,3.0,neutral,cigarette,1617.0,0.0,0.0,
8.0,slow,1203.43008721,3.0,neutral,neutral,1617.0,0.0,0.0,
9.0,slow,1030.53262993,3.0,neutral,alcohol,1617.0,0.0,0.0,
9.0,slow,1030.53262993,3.0,neutral,cigarette,1617.0,0.0,0.0,
9.0,slow,1030.53262993,3.0,neutral,neutral,1617.0,0.0,0.0,
10.0,slow,,3.0,neutral,alcohol,1617.0,0.0,0.0,
10.0,slow,,3.0,neutral,cigarette,1617.0,0.0,0.0,
10.0,slow,,3.0,neutral,neutral,1617.0,0.0,0.0,
11.0,slow,,3.0,neutral,alcohol,1617.0,0.0,0.0,
11.0,slow,,3.0,neutral,cigarette,1617.0,0.0,0.0,
11.0,slow,,3.0,neutral,neutral,1617.0,0.0,0.0,
12.0,slow,,3.0,neutral,alcohol,1617.0,0.0,0.0,
12.0,slow,,3.0,neutral,cigarette,1617.0,0.0,0.0,
12.0,slow,,3.0,neutral,neutral,1617.0,0.0,0.0,
13.0,slow,1427.62257038,3.0,neutral,alcohol,1617.0,9.0,2.0,0.222222222222
13.0,slow,1427.62257038,3.0,neutral,cigarette,1617.0,9.0,1.0,0.111111111111
13.0,slow,1427.62257038,3.0,neutral,neutral,1617.0,9.0,6.0,0.666666666667
14.0,slow,,3.0,neutral,alcohol,1617.0,0.0,0.0,
14.0,slow,,3.0,neutral,cigarette,1617.0,0.0,0.0,
14.0,slow,,3.0,neutral,neutral,1617.0,0.0,0.0,
15.0,slow,,3.0,neutral,alcohol,1617.0,0.0,0.0,
15.0,slow,,3.0,neutral,cigarette,1617.0,0.0,0.0,
15.0,slow,,3.0,neutral,neutral,1617.0,0.0,0.0,
16.0,slow,1032.59810243,3.0,neutral,alcohol,1617.0,1.0,0.0,0.0
16.0,slow,1032.59810243,3.0,neutral,cigarette,1617.0,1.0,1.0,1.0
16.0,slow,1032.59810243,3.0,neutral,neutral,1617.0,1.0,0.0,0.0
17.0,slow,1892.2815946,3.0,neutral,alcohol,1617.0,3.0,0.0,0.0
17.0,slow,1892.2815946,3.0,neutral,cigarette,1617.0,3.0,2.0,0.666666666667
17.0,slow,1892.2815946,3.0,neutral,neutral,1617.0,3.0,1.0,0.333333333333
18.0,slow,1500.15890886,3.0,neutral,alcohol,1617.0,0.0,0.0,
18.0,slow,1500.15890886,3.0,neutral,cigarette,1617.0,0.0,0.0,
18.0,slow,1500.15890886,3.0,neutral,neutral,1617.0,0.0,0.0,
19.0,slow,885.640720768,3.0,neutral,alcohol,1617.0,1.0,0.0,0.0
19.0,slow,885.640720768,3.0,neutral,cigarette,1617.0,1.0,0.0,0.0
19.0,slow,885.640720768,3.0,neutral,neutral,1617.0,1.0,1.0,1.0
20.0,slow,1362.25073411,3.0,neutral,alcohol,1617.0,4.0,2.0,0.5
20.0,slow,1362.25073411,3.0,neutral,cigarette,1617.0,4.0,2.0,0.5
20.0,slow,1362.25073411,3.0,neutral,neutral,1617.0,4.0,0.0,0.0
21.0,slow,2000.76002231,3.0,neutral,alcohol,1617.0,0.0,0.0,
21.0,slow,2000.76002231,3.0,neutral,cigarette,1617.0,0.0,0.0,
21.0,slow,2000.76002231,3.0,neutral,neutral,1617.0,0.0,0.0,
22.0,slow,,3.0,neutral,alcohol,1617.0,0.0,0.0,
22.0,slow,,3.0,neutral,cigarette,1617.0,0.0,0.0,
22.0,slow,,3.0,neutral,neutral,1617.0,0.0,0.0,
23.0,slow,635.848116031,3.0,neutral,alcohol,1617.0,0.0,0.0,
23.0,slow,635.848116031,3.0,neutral,cigarette,1617.0,0.0,0.0,
23.0,slow,635.848116031,3.0,neutral,neutral,1617.0,0.0,0.0,
24.0,slow,995.937496735,3.0,neutral,alcohol,1617.0,0.0,0.0,
24.0,slow,995.937496735,3.0,neutral,cigarette,1617.0,0.0,0.0,
24.0,slow,995.937496735,3.0,neutral,neutral,1617.0,0.0,0.0,
25.0,slow,2273.99320385,3.0,neutral,alcohol,1617.0,0.0,0.0,
25.0,slow,2273.99320385,3.0,neutral,cigarette,1617.0,0.0,0.0,
25.0,slow,2273.99320385,3.0,neutral,neutral,1617.0,0.0,0.0,
26.0,slow,806.969094157,3.0,neutral,alcohol,1617.0,4.0,2.0,0.5
26.0,slow,806.969094157,3.0,neutral,cigarette,1617.0,4.0,0.0,0.0
26.0,slow,806.969094157,3.0,neutral,neutral,1617.0,4.0,2.0,0.5
27.0,slow,968.829140814,3.0,neutral,alcohol,1617.0,3.0,2.0,0.666666666667
27.0,slow,968.829140814,3.0,neutral,cigarette,1617.0,3.0,0.0,0.0
27.0,slow,968.829140814,3.0,neutral,neutral,1617.0,3.0,1.0,0.333333333333
28.0,slow,1080.33072818,3.0,neutral,alcohol,1617.0,0.0,0.0,
28.0,slow,1080.33072818,3.0,neutral,cigarette,1617.0,0.0,0.0,
28.0,slow,1080.33072818,3.0,neutral,neutral,1617.0,0.0,0.0,
29.0,slow,,3.0,neutral,alcohol,1617.0,0.0,0.0,
29.0,slow,,3.0,neutral,cigarette,1617.0,0.0,0.0,
29.0,slow,,3.0,neutral,neutral,1617.0,0.0,0.0,
