sub_id,fast_or_slow,med_rt,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,slow,1954.8666522,4.0,alcohol,alcohol,1218.0,0.0,0.0,
1.0,slow,1954.8666522,4.0,alcohol,cigarette,1218.0,0.0,0.0,
1.0,slow,1954.8666522,4.0,alcohol,neutral,1218.0,0.0,0.0,
2.0,slow,844.337855277,4.0,alcohol,alcohol,1218.0,0.0,0.0,
2.0,slow,844.337855277,4.0,alcohol,cigarette,1218.0,0.0,0.0,
2.0,slow,844.337855277,4.0,alcohol,neutral,1218.0,0.0,0.0,
3.0,slow,1092.44014837,4.0,alcohol,alcohol,1218.0,3.0,1.0,0.333333333333
3.0,slow,1092.44014837,4.0,alcohol,cigarette,1218.0,3.0,1.0,0.333333333333
3.0,slow,1092.44014837,4.0,alcohol,neutral,1218.0,3.0,1.0,0.333333333333
4.0,slow,,4.0,alcohol,alcohol,1218.0,0.0,0.0,
4.0,slow,,4.0,alcohol,cigarette,1218.0,0.0,0.0,
4.0,slow,,4.0,alcohol,neutral,1218.0,0.0,0.0,
5.0,slow,1379.24757498,4.0,alcohol,alcohol,1218.0,4.0,1.0,0.25
5.0,slow,1379.24757498,4.0,alcohol,cigarette,1218.0,4.0,2.0,0.5
5.0,slow,1379.24757498,4.0,alcohol,neutral,1218.0,4.0,1.0,0.25
6.0,slow,,4.0,alcohol,alcohol,1218.0,0.0,0.0,
6.0,slow,,4.0,alcohol,cigarette,1218.0,0.0,0.0,
6.0,slow,,4.0,alcohol,neutral,1218.0,0.0,0.0,
7.0,slow,,4.0,alcohol,alcohol,1218.0,0.0,0.0,
7.0,slow,,4.0,alcohol,cigarette,1218.0,0.0,0.0,
7.0,slow,,4.0,alcohol,neutral,1218.0,0.0,0.0,
8.0,slow,855.098359027,4.0,alcohol,alcohol,1218.0,3.0,1.0,0.333333333333
8.0,slow,855.098359027,4.0,alcohol,cigarette,1218.0,3.0,1.0,0.333333333333
8.0,slow,855.098359027,4.0,alcohol,neutral,1218.0,3.0,1.0,0.333333333333
9.0,slow,1323.36582139,4.0,alcohol,alcohol,1218.0,1.0,1.0,1.0
9.0,slow,1323.36582139,4.0,alcohol,cigarette,1218.0,1.0,0.0,0.0
9.0,slow,1323.36582139,4.0,alcohol,neutral,1218.0,1.0,0.0,0.0
